Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre,Developers
66,Fallout,Series,Bethesda Softworks,Interplay Entertainment,,,,51.43m,,,,,,10th Oct 97,07th Mar 20,Role-Playing,"Interplay Entertainment, Black Isle Studios, Micro Forte, Bethesda Game Studios, Obsidian Entertainment"
67,Marvel's Spider-Man,Series,Sony Interactive Entertainment,Insomniac Games,,,,51.00m,,,,,,07th Sep 18,08th Jan 23,Action-Adventure,Insomniac Games
68,Kirby,Series,Nintendo,HAL Laboratory,,,,50.82m,,,,,,01st Aug 92,22nd Feb 20,Platform,"HAL Laboratory, Nintendo, Good-Feel, Flagship, Natsume, Capcom, Dimps, Arika"
69,The Walking Dead: Telltale Games Series,Series,Telltale Games,Telltale Games,,,,50.00m,,,,,,24th Apr 12,12th Jan 21,Adventure,"Telltale Games, Skybound Games"
70,Bejeweled,Series,PopCap Games,PopCap Games,,,,50.00m,,,,,,30th May 01,25th Feb 20,Puzzle,PopCap Games
