Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
38001,Last Bible III,SNES,Atlus,Multimedia Intelligence Transfer,,,,,,,,,,04th Mar 95,,Role-Playing
38002,Last Bronx,PC,Sega,Sega,,,,,,,,,,01st Jan 98,,Fighting
38003,Last Dragon Standing,XBL,Unknown,Werewolf Studios,,,,,,,,,,,,Adventure
38004,Last Escort: Kurochou Special Night,PS2,D3 Publisher,Vingt-et-un Systems,,,,,,,,,,27th Jul 06,,Adventure
38005,Last Flight,WW,Unknown,Bloober Team,,,,,,,,,,,,Action
38006,Last Gladiators Digital Pinball,SAT,Time Warner Interactive,Kaze,,,,,,,,,,01st Jan 96,,Misc
38007,Last Half of Darkness: Beyond the Spirit's Eye,PC,Tri Synergy,WRF Studios,,,,,,,,,,07th Nov 08,,Adventure
38008,Last Half of Darkness: Shadows of the Servants,PC,SoftLab Laboratories,SoftLab Laboratories,,,,,,,,,,01st Jan 05,,Adventure
38009,Last Heroes - The Final Stand,And,Unknown,Unknown,,,,,,,,,,24th Feb 14,,Misc
38010,Last Hope,DC,RedSpot Games,NG:DEV.TEAM,,,,,,,,,,31st Jan 07,,Shooter
38011,Last Hope,NG,Unknown,NG:DEV.TEAM,,,,,,,,,,10th Jul 06,,Shooter
38012,Last Hope (CD),NG,Unknown,NG:DEV.TEAM,,,,,,,,,,19th Nov 07,,Shooter
38013,Last Hope: Pink Bullets,DC,Unknown,NG:DEV.TEAM,,,,,,,,,,04th Sep 09,,Shooter
38014,Last Imperial Prince,PCFX,NEC,NEC,,,,,,,,,,14th Mar 97,,Role-Playing
38015,Last King of Africa,DS,Focus Home Interactive,White Birds Productions,,,,,,,,,,14th Nov 08,,Adventure
38016,Last Legion UX,N64,Hudson Soft,Yuke's Future Media Creators,,,,,,,,,,28th May 99,,Shooter
38017,Last Ninja 3,VC,Play It,System 3,,,,,,,,,,12th Dec 08,,Action
38018,Last Ranker,PSN,Capcom,imageepoch Inc.,,,,,,,,,,14th Apr 11,,Role-Playing
38019,Last Resort,NG,SNK,SNK Corporation,,,,,,,,,,24th Apr 92,,Shooter
38020,Last Resort,VC,SNK Playmore,SNK Corporation,,,,,,,,,,29th Mar 11,,Shooter
38021,Last Resort (CD),NG,SNK,SNK Corporation,,,,,,,,,,09th Sep 94,,Shooter
38022,Last Stand,WS,Bandai,Bandai,,,,,,,,,,27th May 99,,Role-Playing
38023,Last Story wa Anata e: Gift For You,PC,Panda House,Panda House,,,,,,,,,,25th Feb 05,,Adventure
38024,Lawn Games,Wii,Unknown,CDV Software Entertainment USA,,,,,,,,,,,,Sports
38025,Lawnmower Racing Mania 2007,XB,VU Games,eV Interactive,,,,,,,,,,30th Sep 07,,Racing
38026,Lawnmower Racing Mania 2007,PC,VU Games,eV Interactive,,,,,,,,,,20th Nov 06,,Racing
38027,Layer Section II,SAT,MediaQuest,Taito Corporation,,,,,,,,,,30th Oct 97,,Shooter
38028,Lazlo's Leap,GB,DTMC,DTMC,,,,,,,,,,13th Dec 92,,Action
38029,Lazy RaidersRead the review,XBL,Sarbakan,Sarbakan Inc.,8.0,7.8,,,,,,,,24th Feb 10,,Action
38030,Le Concert ff,PS,Warashi,Warashi,,,,,,,,,,09th Dec 99,,Misc
38031,Le Concert ff,PSN,Warashi,Warashi,,,,,,,,,,08th Dec 10,,Misc
38032,Le Concert ff + pp,PS,Warashi,Warashi,,,,,,,,,,07th Sep 00,,Misc
38033,Le Concert pp,PS,Warashi,Warashi,,,,,,,,,,09th Dec 99,,Misc
38034,Le Concert pp,PSN,Warashi,Warashi,,,,,,,,,,08th Dec 10,,Misc
38035,Le Mans 24 Hours,PC,Infogrames,Melbourne House Pty Ltd.,,,,,,,,,,24th May 02,,Racing
38036,Le Tour De France 2009,XBL,Focus Home Interactive,Cyanide Studio,,,,,,,,,,15th Jul 09,,Sports
