Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
611,Mana,Series,Square,Square,,,,7.00m,,,,,,01st Nov 91,13th Feb 20,Role-Playing
612,Metal Gear Solid,All,Konami,Konami Computer Entertainment Japan,,,,7.00m,,,,,,21st Oct 98,28th Oct 20,Action-Adventure
613,NBA 2K14,All,2K Sports,Visual Concepts,,,,7.00m,,,,,,01st Oct 13,22nd Oct 20,Sports
614,NBA 2K15,All,2K Sports,Visual Concepts,,,,7.00m,,,,,,07th Oct 14,22nd Oct 20,Sports
615,Project Gotham Racing,Series,Sega,Bizarre Creations,,,,7.00m,,,,,,15th Jan 01,14th Feb 20,Racing
616,Rise of the Tomb Raider,All,Square Enix,Crystal Dynamics,,,,7.00m,,,,,,10th Nov 15,26th Oct 20,Action-Adventure
617,Rugrats,Series,THQ,Realtime Associates,,,,7.00m,,,,,,29th Jun 99,13th Feb 20,Action-Adventure
618,Star Wars: The Force Unleashed,All,LucasArts,LucasArts,,,,7.00m,,,,,,16th Sep 08,28th Jan 21,Action-Adventure
619,The Legend of Heroes: Trails,Series,Xseed Games,Falcom,,,,7.00m,,,,,,29th Mar 11,06th Feb 20,Role-Playing
620,"Warhammer 40,000: Dawn of War",Series,THQ,Relic Entertainment,,,,7.00m,,,,,,20th Sep 04,16th Nov 20,Strategy
