Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
18292,Tenshou Gakuen Gekkouroku,PS2,Asmik Ace Entertainment,Asmik Ace Entertainment,,,,,,,0.04m,,0.04m,22nd Nov 06,,Adventure
18293,ABZU,PS4,505 Games,Giant Squid Studios,,,,,0.03m,,,0.01m,0.04m,31st Jan 17,01st Aug 18,Adventure
18294,Ski-Doo Snowmobile Challenge,X360,Valcon Games,ColdWood Interactive,,,,,0.03m,,,0.00m,0.04m,01st Apr 09,,Racing
18295,Aquanaut's Holiday: Kakusareta Kiroku,PS3,Sony Computer Entertainment,ArtDink,,,,,,,0.04m,,0.04m,25th Sep 08,,Adventure
18296,Little Red Riding Hood's Zombie BBQ,DS,Destineer,EnjoyUp Games,,,,,0.03m,,,0.00m,0.04m,06th Nov 08,,Shooter
18297,Dead Rising,XOne,Capcom,Capcom Production Studio 1,,,,,0.03m,,,0.00m,0.04m,13th Sep 16,,Action
18298,Texas Hold 'Em Poker DS,DS,Majesco,Skyworks Technologies,,,,,0.03m,,,0.00m,0.04m,08th Nov 05,,Misc
18299,Edge of Nowhere,PC,Oculus Studios,Insomniac Games,,,,0.04m,,,,,,06th Jun 16,24th Dec 23,Adventure
18300,Big Mutha Truckers,GBA,DSI Games,Raylight Studios,,5.0,,,0.03m,0.01m,,0.00m,0.04m,09th Nov 05,,Racing
18301,Magical Starsign (JP sales),DS,Nintendo,Brownie Brown,,,,,,,0.04m,,0.04m,23rd Oct 06,,Role-Playing
18302,DT Carnage,PSP,Agetec,Axis Entertainment,,,,,0.03m,,,0.00m,0.04m,21st Apr 09,,Racing
18303,Assassin's Creed Rogue RemasteredRead the review,XOne,Ubisoft,Ubisoft,6.0,6.0,,,,0.03m,,0.00m,0.04m,20th Mar 18,29th Jan 18,Action-Adventure
18304,Harry Potter and the Order of the Phoenix,PC,Electronic Arts,EA Games,,,,,,0.03m,,0.00m,0.04m,25th Jun 07,,Adventure
18305,Valkyria Chronicles 4,XOne,Sega,Sega,,,,,0.03m,,,0.00m,0.04m,25th Sep 18,19th Jun 18,Role-Playing
18306,Bionicle Heroes,Wii,Eidos Interactive,Traveller's Tales,,4.7,,,0.03m,0.00m,,0.00m,0.04m,24th Apr 07,,Shooter
18307,Harry Potter and the Prisoner of Azkaban,PC,Electronic Arts,KnowWonder,,,,,,0.03m,,0.00m,0.04m,25th May 04,,Adventure
18308,Rugby 08,PS2,Electronic Arts,EA Canada,,,,,0.02m,0.01m,,0.00m,0.04m,17th Jul 07,,Sports
18309,GoPets: Vacation Island,DS,Konami,1st Playable Productions,,,,,0.03m,,,0.00m,0.04m,18th Mar 08,,Simulation
18310,Mirror's Edge (mobile),iOS,Unknown,Iron Monkey,,,,0.04m,,,,,,,26th Jan 21,Platform
18311,Pia Carrot e Youkoso!! 2.5,DC,NEC Interchannel,Cocktail Soft,,,,,,,0.04m,0.00m,0.04m,21st Jun 08,,Adventure
