Rank,Genre
57299,Shooter
57300,Shooter
57301,Shooter
57302,Shooter
57303,Shooter
57304,Role-Playing
57305,Role-Playing
57306,Action-Adventure
57307,Action-Adventure
57308,Action-Adventure
57309,Action-Adventure
57310,Action-Adventure
57311,Action-Adventure
57312,Action
57313,Racing
57314,Action
57315,Adventure
57316,Adventure
57317,Adventure
57318,Adventure
57319,Adventure
57320,Action-Adventure
57321,Action
57322,Action
57323,Action
57324,Action
57325,Action
57326,Action
57327,Action
57328,Action
57329,Action
57330,Action-Adventure
57331,Action-Adventure
57332,Action-Adventure
57333,Action-Adventure
57334,Role-Playing
57335,Role-Playing
57336,Role-Playing
57337,Role-Playing
57338,Role-Playing
57339,Role-Playing
57340,Role-Playing
57341,Role-Playing
57342,Role-Playing
57343,Role-Playing
57344,Role-Playing
57345,Role-Playing
57346,Role-Playing
57347,Action
57348,Action
57349,Action
57350,Action
57351,Action
57352,Role-Playing
57353,Role-Playing
57354,Role-Playing
57355,Role-Playing
57356,Role-Playing
57357,Role-Playing
57358,Role-Playing
57359,Role-Playing
57360,Visual Novel
57361,Action
57362,Action
57363,Action
57364,Action
57365,Shooter
57366,Action
57367,Misc
57368,Role-Playing
57369,Role-Playing
57370,Role-Playing
57371,Role-Playing
57372,Role-Playing
57373,Role-Playing
57374,Role-Playing
57375,Role-Playing
57376,Role-Playing
57377,Fighting
57378,Action
57379,Action
57380,Shooter
57381,Platform
57382,Shooter
57383,Puzzle
57384,Shooter
57385,Racing
57386,Racing
57387,Racing
57388,Racing
57389,Racing
57390,Action
57391,Action
57392,Action
57393,Action
57394,Racing
57395,Racing
57396,Racing
57397,Shooter
57398,Action-Adventure
57399,Action-Adventure
57400,Sports
57401,Sports
57402,Sports
57403,Role-Playing
57404,Role-Playing
57405,Role-Playing
57406,Role-Playing
57407,Role-Playing
57408,Sports
57409,Sports
57410,Sports
57411,Role-Playing
57412,Role-Playing
57413,Role-Playing
57414,Role-Playing
57415,Adventure
57416,Adventure
57417,Role-Playing
57418,Role-Playing
57419,Role-Playing
57420,Role-Playing
57421,Role-Playing
57422,Role-Playing
57423,Role-Playing
57424,Role-Playing
57425,Role-Playing
57426,Role-Playing
57427,Action-Adventure
57428,Action-Adventure
57429,Action-Adventure
57430,Action-Adventure
57431,Action-Adventure
57432,Action-Adventure
57433,Shooter
57434,Shooter
57435,Shooter
57436,Platform
57437,Simulation
57438,Simulation
57439,Simulation
57440,Simulation
57441,Simulation
57442,Simulation
57443,Platform
57444,Platform
57445,Platform
57446,Platform
57447,Platform
57448,Platform
57449,Platform
57450,Adventure
57451,Party
57452,Platform
57453,Platform
57454,Platform
57455,Platform
57456,Action-Adventure
57457,Adventure
57458,Action
57459,Action
57460,Action
57461,Action
57462,Action
57463,Action
57464,Action
57465,Action
57466,Action
57467,Action
57468,Action
57469,Visual Novel
57470,Role-Playing
57471,Misc
57472,Fighting
57473,Fighting
57474,Fighting
57475,Action
57476,Action
57477,Sports
57478,Sports
57479,Sports
57480,Sports
57481,Shooter
57482,Visual Novel
57483,Visual Novel
57484,Visual Novel
57485,Visual Novel
57486,Visual Novel
57487,Visual Novel
57488,Visual Novel
57489,Role-Playing
57490,Role-Playing
57491,Role-Playing
57492,Role-Playing
57493,Role-Playing
57494,Racing
57495,Adventure
57496,Platform
57497,Platform
57498,Platform
57499,Action
57500,Platform
57501,Platform
57502,Platform
57503,Platform
57504,Platform
57505,Platform
57506,Adventure
57507,Puzzle
57508,Shooter
57509,Shooter
57510,Shooter
57511,Shooter
57512,Shooter
57513,Shooter
57514,Shooter
57515,Shooter
57516,Shooter
57517,Shooter
57518,Shooter
57519,Shooter
57520,Shooter
57521,Shooter
57522,Shooter
57523,Shooter
57524,Shooter
57525,Shooter
57526,Shooter
57527,Shooter
57528,Shooter
57529,Shooter
57530,Shooter
57531,Shooter
57532,Shooter
57533,Shooter
57534,Shooter
57535,Shooter
57536,Shooter
57537,Shooter
57538,Shooter
57539,Shooter
57540,Shooter
57541,Shooter
57542,Shooter
57543,Strategy
57544,Simulation
57545,Simulation
57546,Simulation
57547,Simulation
57548,Simulation
57549,Adventure
57550,Simulation
57551,Puzzle
57552,Puzzle
57553,Platform
57554,Strategy
57555,Strategy
57556,Strategy
57557,Strategy
57558,Action-Adventure
57559,Action-Adventure
57560,Action
57561,Action
57562,Fighting
57563,Action
57564,Action
57565,Action
57566,Action
57567,Action
57568,Action
57569,Action
57570,Action
57571,Action
57572,Action
57573,Action
57574,Role-Playing
57575,Puzzle
57576,Puzzle
57577,Puzzle
57578,Action-Adventure
57579,Action-Adventure
57580,Action-Adventure
57581,Action-Adventure
57582,Action
57583,Education
57584,Education
57585,Education
57586,Puzzle
57587,Action
57588,Adventure
57589,Adventure
57590,Platform
57591,Action
57592,Action
57593,Action
57594,Action
57595,Role-Playing
57596,Role-Playing
57597,Adventure
57598,Role-Playing
57599,Role-Playing
57600,Role-Playing
57601,Role-Playing
57602,Role-Playing
57603,Role-Playing
57604,Action
57605,Role-Playing
57606,Fighting
57607,Fighting
57608,Fighting
57609,Shooter
57610,Role-Playing
57611,Role-Playing
57612,Role-Playing
57613,Role-Playing
57614,Role-Playing
57615,Role-Playing
57616,Role-Playing
57617,Role-Playing
57618,MMO
57619,MMO
57620,Role-Playing
57621,Role-Playing
57622,Role-Playing
57623,Role-Playing
57624,Role-Playing
57625,Role-Playing
57626,Role-Playing
57627,Role-Playing
57628,Role-Playing
57629,Role-Playing
57630,Role-Playing
57631,Role-Playing
57632,Role-Playing
57633,Action
57634,Role-Playing
57635,Action
57636,Action
57637,Action-Adventure
57638,Action-Adventure
57639,Action-Adventure
57640,Action-Adventure
57641,Action
57642,Adventure
57643,Adventure
57644,Adventure
57645,Adventure
57646,Adventure
57647,Adventure
57648,Fighting
57649,Misc
57650,Action-Adventure
57651,Action-Adventure
57652,Action-Adventure
57653,Adventure
57654,Adventure
57655,Adventure
57656,Adventure
57657,Adventure
57658,Adventure
57659,Adventure
57660,Adventure
57661,Adventure
57662,Adventure
57663,Adventure
57664,Adventure
57665,Adventure
57666,Adventure
57667,Adventure
57668,Adventure
57669,Adventure
57670,Adventure
57671,Action
57672,Action
57673,Action
57674,Action
57675,Puzzle
57676,Racing
57677,Puzzle
57678,Role-Playing
57679,Role-Playing
57680,Role-Playing
57681,Role-Playing
57682,Role-Playing
57683,Role-Playing
57684,Adventure
57685,Adventure
57686,Adventure
57687,Shooter
57688,Shooter
57689,Visual Novel
57690,Visual Novel
57691,Visual Novel
57692,Visual Novel
57693,MMO
57694,MMO
57695,MMO
57696,Strategy
57697,Action-Adventure
57698,Strategy
57699,Strategy
57700,Strategy
57701,Strategy
57702,Role-Playing
57703,Role-Playing
57704,Role-Playing
57705,Role-Playing
57706,Role-Playing
57707,Strategy
57708,Strategy
57709,Strategy
57710,Role-Playing
57711,Action-Adventure
57712,Action-Adventure
57713,Role-Playing
57714,Role-Playing
57715,Misc
57716,Platform
57717,Adventure
57718,Adventure
57719,Adventure
57720,Adventure
57721,Adventure
57722,Action
57723,Action
57724,Action-Adventure
57725,Action-Adventure
57726,Action-Adventure
57727,Action-Adventure
57728,Action-Adventure
57729,Action-Adventure
57730,Action-Adventure
57731,Action-Adventure
57732,Action-Adventure
57733,Action-Adventure
57734,Action-Adventure
57735,Action-Adventure
57736,Action-Adventure
57737,Action-Adventure
57738,Action-Adventure
57739,Action-Adventure
57740,Action
57741,Action
57742,Action
57743,Action
57744,Action
57745,Action
57746,Action
57747,Action
57748,Action
57749,Action
57750,Action
57751,Sports
57752,Sports
57753,Sports
57754,Sports
57755,Sports
57756,Sports
57757,Sports
57758,Sports
57759,Sports
57760,Sports
57761,Fighting
57762,Fighting
57763,Racing
57764,Racing
57765,Racing
57766,Action
57767,Shooter
57768,Shooter
57769,Shooter
57770,Shooter
57771,Shooter
57772,Shooter
57773,Action
57774,Action
57775,Shooter
57776,Shooter
57777,Shooter
57778,Action
57779,Platform
57780,Action-Adventure
57781,Role-Playing
57782,Role-Playing
57783,Role-Playing
57784,Role-Playing
57785,Role-Playing
57786,Adventure
57787,Action-Adventure
57788,Music
57789,Platform
57790,Sports
57791,Sports
57792,Sports
57793,Sports
57794,Adventure
57795,Adventure
57796,Adventure
57797,Shooter
57798,Misc
57799,Visual Novel
57800,Adventure
57801,Adventure
57802,Adventure
57803,Puzzle
57804,Adventure
57805,Sports
57806,Sports
57807,Sports
57808,Role-Playing
57809,Role-Playing
57810,Role-Playing
57811,Role-Playing
57812,Role-Playing
57813,Role-Playing
57814,Role-Playing
57815,Role-Playing
57816,Role-Playing
57817,Role-Playing
57818,Role-Playing
57819,Adventure
57820,Shooter
57821,Shooter
57822,Shooter
57823,Shooter
57824,Action
57825,Action
57826,Misc
57827,Role-Playing
57828,Role-Playing
57829,Role-Playing
57830,Role-Playing
57831,Role-Playing
57832,Role-Playing
57833,Role-Playing
57834,Role-Playing
57835,Role-Playing
57836,Role-Playing
57837,Role-Playing
57838,Role-Playing
57839,Role-Playing
57840,Adventure
57841,Adventure
57842,Adventure
57843,Adventure
57844,Action
57845,Role-Playing
57846,Role-Playing
57847,Role-Playing
57848,Role-Playing
57849,Role-Playing
57850,Platform
57851,Platform
57852,Platform
57853,Platform
57854,Platform
57855,Platform
57856,Platform
57857,Platform
57858,Simulation
57859,Simulation
57860,Visual Novel
57861,Strategy
57862,Strategy
57863,Strategy
57864,Strategy
57865,Strategy
57866,Strategy
57867,Strategy
57868,Strategy
57869,Puzzle
57870,Role-Playing
57871,Role-Playing
57872,Role-Playing
57873,Action-Adventure
57874,Action-Adventure
57875,Action-Adventure
57876,Action-Adventure
57877,Action-Adventure
57878,Action-Adventure
57879,Role-Playing
57880,Role-Playing
57881,Role-Playing
57882,Role-Playing
57883,Role-Playing
57884,Simulation
57885,Strategy
57886,Puzzle
57887,Puzzle
57888,Puzzle
57889,Puzzle
57890,Puzzle
57891,Puzzle
57892,Puzzle
57893,Puzzle
57894,Puzzle
57895,Puzzle
57896,Puzzle
57897,Puzzle
57898,Puzzle
57899,Puzzle
57900,Role-Playing
57901,Role-Playing
57902,Role-Playing
57903,Role-Playing
57904,Role-Playing
57905,Role-Playing
57906,Action
57907,Action
57908,Role-Playing
57909,Role-Playing
57910,Adventure
57911,Adventure
57912,Puzzle
57913,Puzzle
57914,Puzzle
57915,Puzzle
57916,Puzzle
57917,Shooter
57918,Puzzle
57919,Adventure
57920,Action
57921,Strategy
57922,Strategy
57923,Strategy
57924,Action-Adventure
57925,Action-Adventure
57926,Action-Adventure
57927,Puzzle
57928,Puzzle
57929,Puzzle
57930,Puzzle
57931,Puzzle
57932,Puzzle
57933,Puzzle
57934,Puzzle
57935,Role-Playing
57936,Role-Playing
57937,Visual Novel
57938,Visual Novel
57939,Shooter
57940,Action-Adventure
57941,Visual Novel
57942,Visual Novel
57943,Visual Novel
57944,Simulation
57945,Role-Playing
57946,Role-Playing
57947,Shooter
57948,MMO
57949,Shooter
57950,Shooter
57951,Action-Adventure
57952,Action-Adventure
57953,Action-Adventure
57954,Party
57955,Party
57956,Sports
57957,Action
57958,Action
57959,Action
57960,Action
57961,Action
57962,Action
57963,Strategy
57964,Adventure
57965,Adventure
57966,Adventure
57967,Adventure
57968,Adventure
57969,Adventure
57970,Action
57971,Action-Adventure
57972,Action-Adventure
57973,Action-Adventure
57974,Action-Adventure
57975,Action-Adventure
57976,Party
57977,Party
57978,Party
57979,Shooter
57980,Shooter
57981,Shooter
57982,Action-Adventure
57983,Action-Adventure
57984,Action-Adventure
57985,Strategy
57986,Action
57987,Role-Playing
57988,Platform
57989,Platform
57990,Platform
57991,Platform
57992,Racing
57993,Action-Adventure
57994,Action-Adventure
57995,Action-Adventure
57996,Action
57997,Action-Adventure
57998,Action-Adventure
57999,Action
58000,Shooter
