Rank,Genre
57001,Simulation
57002,Strategy
57003,Strategy
57004,Action
57005,Action
57006,Action
57007,Action
57008,Platform
57009,Platform
57010,Platform
57011,Platform
57012,Visual Novel
57013,Visual Novel
57014,Role-Playing
57015,Role-Playing
57016,Role-Playing
57017,Role-Playing
57018,Shooter
57019,Shooter
57020,Shooter
57021,Shooter
57022,Platform
57023,Platform
57024,Puzzle
57025,Platform
57026,Platform
57027,Platform
57028,Platform
57029,Action-Adventure
57030,Action-Adventure
57031,Role-Playing
57032,Role-Playing
57033,Role-Playing
57034,Music
57035,Visual Novel
57036,Puzzle
57037,Action
57038,Action
57039,Action
57040,Racing
57041,Racing
57042,Racing
57043,Racing
57044,Racing
57045,Racing
57046,Simulation
57047,Simulation
57048,Role-Playing
57049,Music
57050,Action
57051,Action
57052,Action
57053,Action
57054,Visual Novel
57055,Visual Novel
57056,Adventure
57057,Racing
57058,Racing
57059,Racing
57060,Racing
57061,Racing
57062,Racing
57063,Racing
57064,Action
57065,Shooter
57066,Shooter
57067,Shooter
57068,Shooter
57069,Shooter
57070,Shooter
57071,Adventure
57072,Shooter
57073,Shooter
57074,Role-Playing
57075,Role-Playing
57076,Role-Playing
57077,Action-Adventure
57078,Action-Adventure
57079,Action-Adventure
57080,Action-Adventure
57081,Role-Playing
57082,Role-Playing
57083,Role-Playing
57084,Role-Playing
57085,Role-Playing
57086,Role-Playing
57087,Role-Playing
57088,Role-Playing
57089,Music
57090,Role-Playing
57091,Strategy
57092,Strategy
57093,Strategy
57094,Strategy
57095,Role-Playing
57096,Action-Adventure
57097,Action-Adventure
57098,Action-Adventure
57099,Action-Adventure
57100,Action-Adventure
57101,Action-Adventure
57102,Action-Adventure
57103,Racing
57104,Action-Adventure
57105,Action-Adventure
57106,Action-Adventure
57107,Puzzle
57108,Puzzle
57109,Action
57110,Action
57111,Action
57112,Adventure
57113,Role-Playing
57114,Role-Playing
57115,Role-Playing
57116,Role-Playing
57117,Role-Playing
57118,Role-Playing
57119,Sports
57120,Action-Adventure
57121,Action-Adventure
57122,Action-Adventure
57123,Action-Adventure
57124,Action-Adventure
57125,Action-Adventure
57126,Action-Adventure
57127,Action-Adventure
57128,Action-Adventure
57129,Action-Adventure
57130,Action-Adventure
57131,Action-Adventure
57132,Action-Adventure
57133,Action-Adventure
57134,Action-Adventure
57135,Action-Adventure
57136,Action-Adventure
57137,Platform
57138,Platform
57139,Platform
57140,Platform
57141,Action
57142,Action
57143,Action
57144,Action
57145,Action
57146,Action-Adventure
57147,Action-Adventure
57148,Action-Adventure
57149,Action-Adventure
57150,Action
57151,Action
57152,Action
57153,Action
57154,Action-Adventure
57155,Action-Adventure
57156,Action-Adventure
57157,Action-Adventure
57158,Action
57159,Action
57160,Shooter
57161,Fighting
57162,Fighting
57163,Fighting
57164,Fighting
57165,Fighting
57166,Sports
57167,Sports
57168,Action
57169,Action
57170,Action
57171,Action
57172,Action-Adventure
57173,Action-Adventure
57174,Action-Adventure
57175,Action-Adventure
57176,Action-Adventure
57177,Action-Adventure
57178,Action-Adventure
57179,Adventure
57180,Action-Adventure
57181,Action-Adventure
57182,Action-Adventure
57183,Action-Adventure
57184,Action-Adventure
57185,Action-Adventure
57186,Visual Novel
57187,Adventure
57188,Adventure
57189,Adventure
57190,Adventure
57191,Puzzle
57192,Puzzle
57193,Puzzle
57194,Role-Playing
57195,Strategy
57196,Adventure
57197,Misc
57198,Action
57199,Action
57200,Action
57201,Party
57202,Action-Adventure
57203,Adventure
57204,Action-Adventure
57205,Role-Playing
57206,Role-Playing
57207,Role-Playing
57208,Role-Playing
57209,Action-Adventure
57210,Action-Adventure
57211,Action-Adventure
57212,Action-Adventure
57213,Role-Playing
57214,Action
57215,Action
57216,Action
57217,Shooter
57218,Racing
57219,Action-Adventure
57220,Action-Adventure
57221,Action-Adventure
57222,Action-Adventure
57223,Role-Playing
57224,Role-Playing
57225,Role-Playing
57226,Role-Playing
57227,Shooter
57228,Shooter
57229,Shooter
57230,Action
57231,Action
57232,Platform
57233,Shooter
57234,Shooter
57235,Shooter
57236,Shooter
57237,Action
57238,Shooter
57239,Puzzle
57240,Puzzle
57241,Puzzle
57242,Puzzle
57243,Puzzle
57244,Strategy
57245,Adventure
57246,Adventure
57247,Adventure
57248,Adventure
57249,Adventure
57250,Adventure
57251,Adventure
57252,Adventure
57253,Adventure
57254,Adventure
57255,Adventure
57256,Role-Playing
57257,Shooter
57258,Fighting
57259,Fighting
57260,Fighting
57261,Fighting
57262,Fighting
57263,Shooter
57264,Platform
57265,Platform
57266,Platform
57267,Platform
57268,Platform
57269,Platform
57270,Role-Playing
57271,Role-Playing
57272,Role-Playing
57273,Role-Playing
57274,Role-Playing
57275,Role-Playing
57276,Role-Playing
57277,Role-Playing
57278,Puzzle
57279,Puzzle
57280,Shooter
57281,Shooter
57282,Shooter
57283,Shooter
57284,Role-Playing
57285,Action
57286,Action
57287,Action
57288,Action
57289,Action
57290,Strategy
57291,Strategy
57292,Strategy
57293,Shooter
57294,Shooter
57295,Shooter
57296,Shooter
57297,Shooter
57298,Shooter
