Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
22001,Flowers: Natsu-hen,PSV,Prototype,Unknown,,,,,,,0.01m,,0.01m,22nd Oct 15,,Action
22002,Momotarou Densetsu 16 (PS2 the Best sales),PS2,Hudson Soft,Hudson Soft,,,,,,,0.01m,,0.01m,05th Feb 09,,Misc
22003,Infinite Stratos 2: Love and Purge,PS3,5pb,Unknown,,,,,,,0.01m,,0.01m,03rd Sep 15,,Action
22004,Koshotengai no Hashihime Noma,PSV,Dramatic Create,ADELTA,,,,,,,0.01m,,0.01m,27th Sep 18,09th Oct 18,Visual Novel
22005,The Mighty Quest for Epic Loot,PC,Ubisoft,Ubisoft,,,,,0.00m,,,0.00m,0.01m,05th Feb 15,01st May 19,Action
22006,KLAP!! Kind Love And Punish: Fun Party,PSV,Idea Factory,Unknown,,,,,,,0.01m,,0.01m,30th Mar 17,,Adventure
22007,Monopoly Tycoon,PC,Atari,Deep Red Games,,,,,,0.01m,,0.00m,0.01m,24th Sep 01,,Simulation
22008,Memories Off 6: Next Relation,X360,5pb,5pb. Games,,,,,,,0.01m,,0.01m,27th Aug 09,,Adventure
22009,Soul Calibur IV,XBL,Namco Bandai Games,Project Soul,,8.4,,,,0.00m,,0.00m,0.01m,29th Jul 08,,Fighting
22010,Akai Ito Destiny DS,DS,Alchemist,Alchemist,,,,,,,0.01m,,0.01m,26th Mar 09,,Adventure
22011,ToeJam & Earl: Back in the Groove,XOne,HumaNature Studios,HumaNature Studios,,,,0.01m,,,,,,01st Mar 19,17th Sep 21,Platform
22012,Call of Duty,PC,Activision,Infinity Ward,,7.0,,,,0.01m,,0.00m,0.01m,29th Oct 03,,Shooter
22013,Saiaku Naru Saiyaku Ningen ni Sasagu,PS4,Kemco,Kemco,,,,,,,0.01m,,0.01m,23rd Aug 18,26th Sep 18,Visual Novel
22014,Battle B-Daman,GBA,Atlus,Atlus Co.,,6.0,,,0.00m,0.00m,,0.00m,0.01m,26th Jul 06,,Action
22015,Moeru Mahjong: Moejong!,PSP,Hudson Entertainment,Hudson Soft,,,,,,,0.01m,,0.01m,23rd Oct 08,,Misc
22016,Hidden Expedition: The Crown of Solomon,PC,Focus Multimedia,Big Fish Games,,,,,,0.01m,,0.00m,0.01m,19th Nov 14,01st May 19,Adventure
22017,Nancy Drew: Message in a Haunted Mansion,GBA,DreamCatcher Interactive,Handheld Games,,,,,0.00m,0.00m,,0.00m,0.01m,15th Nov 01,,Adventure
22018,Tokeijikake no Ley Line: Kagerou ni Samayou Majo,PSV,Dramatic Create,Dramatic Create,,,,,,,0.01m,,0.01m,27th Apr 17,,Adventure
22019,My Hero: Firefighter,DS,Majesco,Game-life / Mad Monkey Studio,,,,,0.00m,0.00m,,0.00m,0.01m,17th Nov 09,,Simulation
22020,Dr. Sudoku,GBA,Mastiff,Success,,6.7,,,0.00m,0.00m,,0.00m,0.01m,03rd May 06,,Puzzle
22021,Monochrome Fighter: Cross Road,PS2,5pb,Genterprise,,,,,,,0.01m,,0.01m,27th Nov 08,,Adventure
22022,Chainz Galaxy,DS,Jack of All Games,Jack of All Games,,,,,,0.00m,,0.00m,0.01m,,,Puzzle
22023,Simple 2000 Series Wii Vol. 2: The Party Game,Wii,D3 Publisher,Tamsoft,,,,,,,0.01m,,0.01m,28th Aug 08,,Misc
22024,Steel Horizon,PSP,Konami,Climax Group,,,,,0.01m,,,0.00m,0.01m,02nd Jul 07,,Strategy
22025,ATV Renegades,XOne,Nighthawk Interactive,Nighthawk Interactive,,,,,0.00m,,,0.00m,0.01m,18th Apr 17,14th Sep 18,Racing
22026,Enkeltbillet,PSP,Idea Factory,Otomate,,,,,,,0.01m,,0.01m,31st Jul 14,,Adventure
22027,Zettai Karen Children DS: Dai-4 no Children,DS,Konami,Konami,,,,,,,0.01m,,0.01m,04th Sep 08,,Role-Playing
22028,Amatsutsumi,PSV,Prototype,Prototype,,,,,,,0.01m,,0.01m,17th May 18,04th Jun 18,Visual Novel
22029,Honki de Manabu: LEC de Goukaku - DS Takuchi Tatemono Torihiki Shuninsha,DS,Square Enix,Square Enix,,,,,,,0.01m,,0.01m,26th Feb 09,,Misc
22030,Brian Lara 2007 Pressure Play,PSP,Codemasters,Codemasters,,,,,,0.00m,,0.00m,0.01m,31st Aug 07,,Sports
22031,Calvin Tucker's Redneck Jamboree,PC,Zoo Games,Humagade,,,,,,0.00m,,0.00m,0.01m,24th Jul 09,,Misc
22032,Dawn of Discovery: Venice,PC,Ubisoft,Blue Byte Software / Related Designs,,7.0,,,,0.00m,,0.00m,0.01m,26th Feb 10,,Simulation
22033,Mega Man X Legacy Collection 2,PS4,Capcom,Capcom,,,,,,,0.01m,,0.01m,26th Jul 18,31st Aug 18,Platform
22034,Yattaman DS 2: BikkuriDokkiri Animal Daibouken,DS,Takara Tomy,Takara Tomy,,,,,,,0.01m,,0.01m,16th Oct 08,,Action
22035,Spy Hunter: Nowhere To Run,XB,Midway Games,Terminal Reality,,,,,0.00m,0.00m,,0.00m,0.01m,05th Sep 06,,Racing
22036,bit Generations: Dialhex,GBA,Nintendo,skip Ltd.,,7.0,,,,,0.01m,0.00m,0.01m,13th Jul 06,,Puzzle
22037,Dynamic Chord feat. Apple-Polisher: V Edition,PSV,honeybee,honeybee,,,,,,,0.01m,,0.01m,28th Jun 18,12th Aug 18,Adventure
22038,Regular Show: Mordecai & Rigby in 8-Bit Land,3DS,D3Publisher,D3 Publisher,,,,,,0.00m,,0.00m,0.01m,29th Oct 13,01st May 19,Action-Adventure
22039,Harukanaru Toki no Naka de 4,Wii,KOEI,Koei,,,,,,,0.01m,,0.01m,19th Jun 08,,Adventure
22040,Challenge Me: Word Puzzles,PC,O-Games,O Games,,,,,,0.00m,,0.00m,0.01m,03rd May 11,,Puzzle
22041,Nancy Drew: The Phantom of Venice,PC,Her Interactive,Her Interactive,,,,,0.00m,,,0.00m,0.01m,11th Jul 08,,Adventure
