Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
43001,Pineview Drive,PC,Unknown,Visual Imagination Software,,,,,,,,,,31st Jul 14,,Action
43002,Ping Time,XBL,Microsoft,MatthewM,,,,,,,,,,18th Apr 09,,Misc
43003,Pink Goes to Hollywood,SNES,TecMagik,Manley and Associates Inc.,,,,,,,,,,01st Nov 93,,Platform
43004,Pink Goes to Hollywood,GEN,TecMagik,HeadGames,,,,,,,,,,01st Jan 93,,Platform
43005,Pink Panzer,PC,Liar Soft,Liar Soft,,,,,,,,,,07th Jun 02,,Strategy
43006,Pink Pong,PS2,505 Games,HuneX,,,,,,,,,,25th Feb 05,,Sports
43007,Pinky and the Brain: The Master Plan,GBA,Unknown,Warthog,,,,,,,,,,31st Dec 20,,Platform
43008,Pinky Monkey Town,GBA,Starfish,Starfish,,,,,,,,,,21st Dec 01,,Action
43009,Pinobee,PS,Konami,Artoon,,,,,,,,,,17th Apr 03,,Platform
43010,Pinocchio,PS2,Phoenix Games,Phoenix Games,,,,,,,,,,08th Dec 06,,Adventure
43011,Pinocchio's Puzzle,WW,EnjoyUp Games,EnjoyUp Games,,,,,,,,,,17th Nov 11,,Puzzle
43012,Pin·Bot,NES,Nintendo,Rare Ltd.,,,,,,,,,,01st May 90,,Misc
43013,Pioneer,XBL,Microsoft,laurent goethals,,,,,,,,,,24th Dec 09,,Role-Playing
43014,Pipe Dream,GB,Bullet Proof Software,Bullet Proof Software,,,,,,,,,,01st Sep 90,,Puzzle
43015,Pipe Dream,NES,Bullet Proof Software,"Distinctive Software, Inc.",,,,,,,,,,01st Jan 90,,Puzzle
43016,Pipe Dream,SNES,Bullet Proof Software,Bullet Proof Software,,,,,,,,,,07th Aug 92,,Puzzle
43017,Pipe Dream,PC,Lucasfilm Games,The Assembly Line,,,,,,,,,,01st Jan 89,,Puzzle
43018,Pipe Madness,PSN,Unknown,Ayeware AB,,,,,,,,,,04th Jan 11,,Puzzle
43019,Pipe Mania,PC,Empire Interactive,Razorworks Studios,,,,,,,,,,26th Sep 08,,Puzzle
43020,Pipe Mania,Wii,Unknown,Razorworks Studios,,,,,,,,,,31st Dec 20,,Puzzle
43021,Pipe Mania,PSN,Empire Interactive,Empire Interactive,,,,,,,,,,24th Dec 08,,Puzzle
43022,Pipe Mania (1989),PC,Empire Interactive,The Assembly Line,,,,,,,,,,01st Jan 89,,Puzzle
43023,Pipe Push,PC,Phosphor Games,Unknown,,,,,,,,,,31st Oct 13,,Misc
43024,Pipemania,NES,HES Interactive,Thin Chen Enterprises,,,,,,,,,,01st Jan 91,,Puzzle
43025,Pippa Funnell: Stable Adventure,GBA,Ubisoft,Lexis Numerique,,,,,,,,,,30th Sep 05,,Simulation
43026,Pippa Funnell: The Golden Stirrup Challenge,PC,Ubisoft,Lexis Numerique,,,,,,,,,,20th Mar 07,,Simulation
43027,Pirate Cubes,XBL,Microsoft,Peter Conti,,,,,,,,,,25th Feb 09,,Fighting
43028,Pirate Mysteries,And,Kristanix Games,Unknown,,,,,,,,,,01st Jan 12,,Misc
43029,Pirate Mysteries,OSX,Kristanix Games,Unknown,,,,,,,,,,03rd Feb 11,,Misc
43030,Pirate Texas Holdem Defense,XBL,Microsoft,MindsEdge,,,,,,,,,,02nd Jul 11,,Action
43031,Pirates,PC,Three Flip Studios,Unknown,,,,,,,,,,20th Mar 14,,Misc
43032,Pirates,OSX,Three Flip Studios,Unknown,,,,,,,,,,20th Mar 14,,Misc
43033,Pirates,Linux,Three Flip Studios,Unknown,,,,,,,,,,20th Mar 14,,Misc
43034,Pirates Assault,DSi,CIRCLE Entertainment,Unknown,,,,,,,,,,15th Mar 12,,Misc
43035,Pirates Assault,3DS,CIRCLE Entertainment,Unknown,,,,,,,,,,15th Mar 12,,Misc
43036,Pirates of the Caribbean,PC,Bethesda Softworks,Akella,,,,,,,,,,30th Jun 03,,Role-Playing
43037,Pirates of the Caribbean Multiplayer,And,Oddworld Inhabitans,Unknown,,,,,,,,,,18th Oct 11,,Misc
43038,Pirates of the Caribbean Online,PC,Disney Online,Disney Online,,,,,,,,,,31st Oct 07,,Role-Playing
43039,Pirates of the Caribbean: Armada of the Damned,PC,Unknown,Propaganda Games,,,,,,,,,,01st Jan 70,,Role-Playing
43040,Pirates of the Caribbean: Armada of the Damned,PS3,Unknown,Propaganda Games,,,,,,,,,,,,Role-Playing
43041,Pirates of the Caribbean: Armada of the Damned,X360,Unknown,Propaganda Games,,,,,,,,,,,,Role-Playing
43042,Pirates of the Caribbean: Armada of the Damned,Wii,Unknown,Propaganda Games,,,,,,,,,,,,Role-Playing
43043,Pirates of the Caribbean: At World's End,PC,Disney Interactive Studios,Eurocom Entertainment Software,,,,,,,,,,22nd May 07,,Action
43044,Pirates of the Caribbean: At World's End,PSN,Disney Interactive Studios,Eurocom,,,,,,,,,,03rd Sep 09,,Adventure
43045,Pirates of the Caribbean: Dead Man's Chest,PSN,Disney Interactive Studios,Griptonite,,,,,,,,,,06th Aug 09,,Adventure
43046,Pirates of the Caribbean: The Legend of Jack Sparrow,PC,Bethesda Softworks,California Seven Studios,,,,,,,,,,28th Jun 06,,Adventure
43047,Pirates vs Ninjas Dodgeball,XBL,Gamecock,Blazing Lizard,,,,,,,,,,03rd Sep 08,,Sports
43048,Pirates!,NES,Ultra Games,Rare Ltd.,,,,,,,,,,01st Oct 91,,Strategy
43049,Pirates!,PC,Microprose,MicroProse,,,,,,,,,,01st Jan 87,,Strategy
43050,Pirates! Gold,PC,Microprose,"MicroProse Software, Inc.",,,,,,,,,,01st Jan 93,,Strategy
43051,Pirates! Gold,GEN,Microprose,MicroProse,,,,,,,,,,01st Jan 93,,Strategy
43052,Pirates: Adventures of the Black Corsair,DS,Unknown,Mamba Games,,,,,,,,,,,,Misc
43053,Pirates: Adventures of the Black Corsair,Wii,Unknown,Mamba Games,,,,,,,,,,,,Misc
43054,Pirates: Legend of the Black Buccaneer,XB,Valcon Games,WideScreen Games,,,,,,,,,,15th Aug 06,,Adventure
43055,Pirates: The Key of Dreams,WW,Oxygen Interactive,Oxygen Games,,,,,,,,,,21st Jul 08,,Action
43056,Pit Crew Panic!,WW,Hudson Entertainment,Hudson Soft,,,,,,,,,,01st Dec 08,,Misc
43057,Pit Crew Panic!,WW,Hudson Soft,Hudson Soft,,,,,,,,,,01st Dec 08,,Puzzle
43058,Pit People,XOne,The Behemoth,The Behemoth,,,,,,,,,,02nd Mar 18,11th Sep 18,Strategy
43059,Pit-Fighter,SNES,THQ,Tengen,,,,,,,,,,01st Mar 92,,Fighting
43060,Pit-Fighter,GB,THQ,Tengen,,,,,,,,,,01st Jun 92,,Fighting
43061,Pit-Fighter,Lynx,Atari,Atari,,,,,,,,,,01st Jan 92,,Action
43062,Pit-Fighter,MS,Domark Software,Domark,,,,,,,,,,01st Jan 91,,Action
43063,Pit-Fighter,GEN,Tengen,Sterling Silver Software,,,,,,,,,,01st Jan 91,,Fighting
43064,Pitfall,5200,Activision,Activision,,,,,,,,,,01st Jan 83,,Platform
43065,Pitfall II: Lost Caverns,5200,Activision,Activision,,,,,,,,,,01st Jan 84,,Platform
43066,Pitfall II: Lost Caverns,PC,Activision,Activision,,,,,,,,,,01st Jan 84,,Platform
43067,Pitfall: The Mayan Adventure,SNES,Activision,Redline Games,,,,,,,,,,01st Nov 94,,Platform
43068,Pitfall: The Mayan Adventure,AJ,Atari,Activision,,,,,,,,,,01st Oct 95,,Platform
43069,Pitfall: The Mayan Adventure,SCD,Activision,Activision,,,,,,,,,,01st Jan 94,,Platform
43070,Pitfall: The Mayan Adventure,PC,Activision,Activision,,,,,,,,,,01st Jan 96,,Platform
43071,Pitfall: The Mayan Adventure,VC,Activision,Activision,,,,,,,,,,13th Apr 09,,Platform
43072,Pitfall: The Mayan Adventure,GEN,Activision,Activision,,,,,,,,,,01st Jan 94,,Platform
43073,Pitstop II,VC,Commodore,Synergystic Software,,,,,,,,,,23rd Feb 09,,Racing
43074,Pivotal Punishment,3DS,Gamelion Studios,Unknown,,,,,,,,,,09th May 13,,Misc
43075,Pix Maze,DSiW,Unknown,Activision Blizzard,,,,,,,,,,,,Puzzle
43076,PIX the CAT,PSV,Pasta Games!,Pasta Games!,,,,,,,,,,07th Oct 14,,Action
43077,PIX the CAT,PS4,Pasta Games!,Pasta Games!,,,,,,,,,,07th Oct 14,,Action
43078,PIX the CAT,PC,Pasta Games!,Pasta Games!,,,,,,,,,,29th Jan 15,,Action
43079,Pix'n Love Rush,PSN,Sanuk Games,Bulkypix,,,,,,,,,,01st Mar 11,,Platform
43080,PIX3D,3DS,Gamelion Studios,Unknown,,,,,,,,,,20th Dec 12,,Misc
43081,Pixel Blocked!,XBL,Microsoft,damnigames,,,,,,,,,,27th Jul 11,,Puzzle
43082,Pixel Boy and the Ever Expanding Dungeon,PC,Line One Games,Unknown,,,,,,,,,,30th May 14,,Misc
43083,Pixel Boy and the Ever Expanding Dungeon,OSX,Line One Games,Unknown,,,,,,,,,,30th May 14,,Misc
43084,Pixel Boy and the Ever Expanding Dungeon,Linux,Line One Games,Unknown,,,,,,,,,,30th May 14,,Misc
43085,Pixel Car Racer,And,Unknown,Unknown,,,,,,,,,,,,Racing
43086,Pixel Guess,And,Unknown,Unknown,,,,,,,,,,09th Mar 14,,Action
43087,Pixel Gun 3D,And,Unknown,Unknown,,,,,,,,,,03rd May 13,,Misc
43088,Pixel Gun 3D,And,Unknown,Unknown,,,,,,,,,,03rd May 13,,Shooter
43089,Pixel Hunter,And,Lemondo Entertainment,Lemondo Entertainment,,,,,,,,,,13th Jun 14,,Action
43090,Pixel Hunter,Linux,Lemondo Entertainment,Lemondo Entertainment,,,,,,,,,,18th Jul 14,,Action
43091,Pixel Hunter,OSX,Lemondo Entertainment,Lemondo Entertainment,,,,,,,,,,18th Jul 14,,Action
43092,Pixel Hunter,PC,Lemondo Entertainment,Lemondo Entertainment,,,,,,,,,,18th Jul 14,,Action
43093,Pixel Man,XBL,Microsoft,Super Gravelyn Bros,,,,,,,,,,19th Sep 09,,Platform
43094,Pixel Nom,And,Unknown,Unknown,,,,,,,,,,24th Feb 14,,Misc
43095,Pixel Piracy,Linux,Re-Logic,Quadro Delta,,,,,,,,,,23rd Apr 15,09th Aug 18,Role-Playing
43096,Pixel Piracy,OSX,Re-Logic,Quadro Delta,,,,,,,,,,23rd Apr 15,09th Aug 18,Role-Playing
43097,Pixel Towers,And,Robotality,Robotality,,,,,,,,,,13th Feb 12,,Action
43098,Pixel Whirled,XBL,Microsoft,Holmfry,,,,,,,,,,21st Dec 09,,Shooter
43099,PixelJunk 4am,PSN,Unknown,Q-Games,,,,,,,,,,,,Misc
43100,PixelJunk EdenRead the review,PSN,Sony Computer Entertainment,Q-Games,8.7,7.9,,,,,,,,31st Jul 08,,Platform
43101,PixelJunk MonstersRead the review,PSN,Sony Computer Entertainment,Q-Games,8.6,8.4,,,,,,,,24th Jan 08,,Strategy
43102,PixelJunk Monsters,PSP,Sony Computer Entertainment America,Unknown,,,,,,,,,,27th Apr 10,,Misc
43103,PixelJunk Monsters,PSV,Double Eleven,Unknown,,,,,,,,,,30th Jul 13,,Misc
43104,PixelJunk Monsters,PC,Double Eleven,Unknown,,,,,,,,,,26th Aug 13,,Misc
43105,PixelJunk Monsters DeluxeRead the review,PSN,Sony Computer Entertainment,Q-Games,8.9,8.7,,,,,,,,01st Oct 09,,Strategy
43106,PixelJunk Racers,PSN,Sony Computer Entertainment,Q-Games,,5.9,,,,,,,,13th Sep 07,,Racing
43107,PixelJunk Racers: 2nd Lap,PSN,Sony Computer Entertainment,Q-Games,,6.6,,,,,,,,24th Aug 10,,Racing
43108,PixelJunk ShooterRead the review,PSN,Sony Computer Entertainment,Q-Games,8.6,8.5,,,,,,,,10th Dec 09,,Shooter
43109,PixelJunk Shooter 2Read the review,PSN,Sony Computer Entertainment,Q-Games,8.7,8.0,,,,,,,,01st Mar 11,,Shooter
43110,PixelJunk Shooter Ultimate,PSV,Double Eleven,Double Eleven,,,,,,,,,,03rd Jun 14,14th Sep 18,Shooter
43111,PixelJunk Shooter Ultimate,PS4,Double Eleven,Double Eleven,,,,,,,,,,03rd Jun 14,14th Sep 18,Shooter
43112,PixelJunk SideScrollerRead the review,PSN,Sony Computer Entertainment,Q-Games,7.5,9.0,,,,,,,,25th Oct 11,,Shooter
43113,Pixelocity,XBL,Unknown,GLHF Games,,,,,,,,,,,,Action
43114,Pixelpix,XBL,Microsoft,seasidebaz,,,,,,,,,,05th Dec 09,,Puzzle
43115,Pixoban,And,Cooking Mama Ltd.,Unknown,,,,,,,,,,17th May 13,,Misc
43116,Piyotama,PSN,Sony Computer Entertainment,SCE Japan Studio,,,,,,,,,,09th Aug 07,17th Sep 18,Puzzle
