Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
331,Ghost of Tsushima,All,Sony Interactive Entertainment,Sucker Punch,,,,13.00m,,,,,,17th Jul 20,16th Jul 22,Action-Adventure
332,MinecraftRead the review,X360,Microsoft Studios,Mojang,8.8,,,13.00m,,,,,,04th Jun 13,05th Aug 18,Misc
333,Scribblenauts,Series,Warner Bros. Interactive Entertainment,5th Cell,,,,13.00m,,,,,,15th Sep 09,01st Mar 20,Puzzle
334,Gran Turismo Sport,PS4,Sony Interactive Entertainment,Polyphony Digital,,,,12.98m,,,,,,17th Oct 17,13th Jan 18,Racing
335,Mario Party SuperstarsRead the review,NS,Nintendo,Nintendo,8.0,,,12.89m,,,,,,29th Oct 21,15th Jun 21,Party
336,Super Mario 3D LandRead the review,3DS,Nintendo,Nintendo EAD Tokyo,9.1,8.9,,12.88m,,,,,,13th Nov 11,06th Apr 18,Platform
337,Super Mario GalaxyRead the review,Wii,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.6,12.80m,,,,,,12th Nov 07,,Platform
338,Pokémon Heart Gold / Soul Silver VersionRead the review,DS,Nintendo,Game Freak,8.5,8.6,,12.72m,,,,,,14th Mar 10,,Role-Playing
339,Call of Duty: Black OpsRead the review,PS3,Activision,Treyarch,8.7,8.7,,,6.01m,4.40m,0.48m,1.78m,12.67m,09th Nov 10,,Shooter
340,Grand Theft Auto V,PC,Rockstar Games,Rockstar North,,,,12.60m,,,,,,14th Apr 15,02nd Nov 18,Action
