Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
42001,omg cats game@#$,XBL,Microsoft,RickyWh,,,,,,,,,,27th Oct 09,,Action
42002,OMG! High School Triple Play Pack,PC,Legacy Interactive,Navarre,,,,,,,,,,07th Apr 09,,Misc
42003,OMG-Z,PSN,Unknown,Laughing Jackal,,,,,,,,,,03rd Aug 11,,Shooter
42004,Omikoshi Wars,DSiW,Tom Create,Tom Create,,,,,,,,,,15th Dec 10,,Action
42005,Omikron: The Nomad Soul,DC,Eidos Interactive,Quantic Dream,,6.2,,,,,,,,22nd Jun 00,,Adventure
42006,Omikron: The Nomad Soul,PC,Eidos Interactive,Quantic Dream,,,,,,,,,,02nd Nov 99,,Adventure
42007,Omise de Tensyu,PS,TechnoSoft,"TechnoSoft Co., Ltd.",,,,,,,,,,08th Apr 99,,Role-Playing
42008,Omniverse Live,PC,Polynetix Studio,Unknown,,,,,,,,,,31st Jan 14,,Misc
42009,On A Roll,XBL,Microsoft,Battenberg Software,,,,,,,,,,21st Sep 09,,Platform
42010,On the Ball,SNES,Taito,Taito Corporation,,,,,,,,,,01st Nov 92,,Action
42011,Once Upon a Knight,PC,Atari,Reality Pump,,,,,,,,,,25th Sep 03,,Strategy
42012,One,NGage,Nokia,Digital Legends Entertainment,,6.8,,,,,,,,13th Oct 05,,Fighting
42013,One,PS,ASC Games,Visual Concepts,,,,,,,,,,30th Nov 97,,Action
42014,One,PSN,Sony Computer Entertainment,Visual Concepts,,,,,,,,,,18th Mar 10,,Action
42015,One Epic Game,PSN,Unknown,Grip Games,,7.0,,,,,,,,02nd Aug 11,,Shooter
42016,One For Eleven,And,Actoz Soft,Unknown,,,,,,,,,,17th Apr 14,,Misc
42017,One Must Fall: 2097,PC,Epic Games,Diversions Entertainment,,,,,,,,,,15th Jun 94,,Fighting
42018,One Must Fall: Battlegrounds,PC,Diversions Entertainment,Diversions Entertainment,,,,,,,,,,19th Dec 03,,Fighting
42019,One Piece Unlimited Cruise SP 2,3DS,Namco Bandai Games,Unknown,,,,,,,,,,27th Jul 12,,Misc
42020,One Piece Unlimited Cruise: Double Pack,Wii,Namco Bandai,Ganbarion,,,,,,,,,,25th Jun 10,,Action
42021,One Piece: Dragon Dream!,GBA,Bandai,Bandai,,,,,,,,,,28th Apr 05,,Role-Playing
42022,One Piece: Going Baseball - Kaizoku Yakyuu,GBA,Bandai,Now Production,,,,,,,,,,11th Mar 04,,Sports
42023,One Piece: Mezase! King of Berry,GBA,Banpresto,Banpresto,,,,,,,,,,28th Mar 03,,Misc
42024,One Piece: Nanatsu Shima no Daihihou,GBA,Banpresto,Banpresto,,,,,,,,,,15th Nov 02,,Role-Playing
42025,One Piece: Ocean's Dream,PS,Bandai,Bandai,,,,,,,,,,01st May 03,,Role-Playing
42026,One Piece: Project Jet,DS,Unknown,Ganbarion,,,,,,,,,,,,Action
42027,One Piece: Round the Land!,PS2,Bandai,ArtDink,,,,,,,,,,10th Dec 04,,Action
42028,"One Piece: Run, Chopper, Run!",And,Namco Bandai Games,Namco Bandai Games,,,,,,,,,,28th Apr 15,,Action
42029,One Piece: Thousand Storm,And,Namco Bandai Games,Namco Bandai Games,,,,,,,,,,24th Jan 17,,Role-Playing
42030,One Spear Arena,And,Unknown,Unknown,,,,,,,,,,26th Feb 14,,Action
42031,One Two Boat Racing,PSN,Sony Computer Entertainment,Sony Computer Entertainment America,,,,,,,,,,04th May 10,,Racing
42032,One Unit Whole Blood,PC,GT Interactive,Monolith Productions,,,,,,,,,,15th Jul 98,,Shooter
42033,One Way Trip,PSV,Unknown,Unknown,,,,,,,,,,01st Jan 16,,Adventure
42034,One Way Trip,PS4,Unknown,Unknown,,,,,,,,,,01st Jan 16,,Adventure
42035,One-on-One Basketball,7800,Atari,Atari,,,,,,,,,,01st Jan 87,,Sports
42036,Onedari Milky Pie,PC,Sekilala,Sekilala,,,,,,,,,,27th May 05,,Adventure
42037,Oneesan to Issho! Janken Paradise,3DO,Unknown,Interlas,,,,,,,,,,16th Dec 94,,Misc
42038,Oneesan to Issho! Kisekae Paradise,3DO,Bullet Proof Software,Bullet Proof Software,,,,,,,,,,22nd Nov 95,,Misc
42039,Onegai Monsters,N64,Bottom Up,Bottom Up,,,,,,,,,,09th Apr 99,,Strategy
42040,Onegai My Melody: Yume no Kuni no Daibouken,DS,TDK Core,TDK Core,,,,,,,,,,22nd Dec 05,,Action
42041,Ongaku,WW,Unknown,Smashmouth Games,,,,,,,,,,,,Misc
42042,Ongaku Tsukuru: Kanadeeru,SNES,ASCII Entertainment,ASCII Entertainment,,,,,,,,,,12th Apr 96,,Misc
42043,Oni (Japan),PC,Unknown,InterHeart,,,,,,,,,,13th Dec 00,,Adventure
42044,Oni Coach!!,PC,Unknown,Apple Pie,,,,,,,,,,06th Oct 01,,Adventure
42045,Oni II: Innin Densetsu,GB,Banpresto,Pandora Box,,,,,,,,,,28th Feb 92,,Role-Playing
42046,Oni III: Kuro no Hakaigami,GB,Banpresto,Pandora Box,,,,,,,,,,26th Feb 93,,Role-Playing
42047,Oni Isha,PC,Saga Planets,Saga Planets,,,,,,,,,,26th Apr 02,,Adventure
42048,Oni IV: Kishin no Ketsuzoku,GB,Banpresto,Pandora Box,,,,,,,,,,11th Mar 94,,Role-Playing
42049,Oni Kyoushi,PC,Unknown,That's,,,,,,,,,,26th Jan 07,,Adventure
42050,Oni Mari.,PC,13cm,13cm,,,,,,,,,,29th Jan 10,,Adventure
42051,Oni no Sumu Sakura,PC,Unknown,Another Room,,,,,,,,,,19th May 00,,Adventure
42052,"Oni Uta. Oni ga Kitari de, Maesasero to Notamouta",PC,13cm,13cm,,,,,,,,,,26th Jun 09,,Adventure
42053,Oni V: Innin no Tsugumono,GB,Banpresto,Pandora Box,,,,,,,,,,24th Mar 95,,Role-Playing
42054,ONI Zero: Sengoku Ransei Hyakkaryouran,DS,Compile Heart,Compile Heart,,,,,,,,,,30th Aug 07,,Role-Playing
42055,Onigiri,PS4,"CyberStep Communications, Inc.","CyberStep, Inc.",,,,,,,,,,06th Oct 15,21st Sep 18,Role-Playing
42056,OniKira: Demon Killer,PSV,Unknown,Digital Furnace Games,,,,,,,,,,,21st Sep 18,Action
42057,OniKira: Demon Killer,PS4,Unknown,Digital Furnace Games,,,,,,,,,,,21st Sep 18,Action
42058,OniKira: Demon Killer,PC,Unknown,Digital Furnace Games,,,,,,,,,,01st Jan 16,21st Sep 18,Action
42059,Onimusha 3: Demon Siege,PC,Ubisoft,Capcom,,,,,,,,,,16th Mar 06,,Action
42060,Onimusha Soul,PC,Capcom,Capcom,,,,,,,,,,28th Jun 12,,Role-Playing
42061,Online Artillery – Medieval Multiplayer Fortress Siege,WinP,Wolfteam / Namco Tales Studio,Unknown,,,,,,,,,,01st Apr 14,,Misc
42062,Online Artillery – Medieval Multiplayer Fortress Siege,PC,Wolfteam / Namco Tales Studio,Unknown,,,,,,,,,,01st Apr 14,,Misc
42063,Online Artillery – Medieval Multiplayer Fortress Siege,OSX,Wolfteam / Namco Tales Studio,Unknown,,,,,,,,,,01st Apr 14,,Misc
42064,Online Artillery – Medieval Multiplayer Fortress Siege,And,Wolfteam / Namco Tales Studio,Unknown,,,,,,,,,,01st Apr 14,,Misc
42065,Only If,OSX,Creability,Creability,,,,,,,,,,25th Jul 14,,Adventure
42066,Only If,Linux,Creability,Creability,,,,,,,,,,25th Jul 14,,Adventure
42067,Only If,PC,Creability,Creability,,,,,,,,,,25th Jul 14,,Adventure
42068,Onmyou Taisenki: Byakko Enbu,PS2,Bandai,Matrix Software,,,,,,,,,,31st Mar 05,,Action
42069,Onmyou Taisenki: Zeroshiki,GBA,Bandai,Bandai,,,,,,,,,,09th Dec 04,,Role-Playing
42070,Onna Kyoushi: Chijoku no Senritsu,PC,Unknown,Guilty,,,,,,,,,,13th Feb 04,,Adventure
42071,Onsei Ninshiki Mahjong: Jarman,DC,Visit,Visit,,,,,,,,,,31st Aug 00,,Misc
42072,OnSide Soccer,3DO,Unknown,Elite,,,,,,,,,,01st Aug 07,,Sports
42073,Onslaught,WW,Hudson Entertainment,Hudson Soft,,,,,,,,,,23rd Feb 09,,Shooter
42074,Onslaught,XBL,Microsoft,Stainless,,,,,,,,,,21st Jan 09,,Platform
42075,Onslaught,GEN,Ballistic,Nextgrand,,,,,,,,,,01st Jan 91,,Platform
42076,Ooedo Huusui Ingaritsu Hanabi 2,PS,Magical Company,Magical Company,,,,,,,,,,22nd Jun 00,,Misc
42077,Ooedo Huusui Ingaritsu Hanabi 2,PSN,Mahou,Magical Company,,,,,,,,,,23rd Feb 11,,Misc
42078,Ooedo Senryoubako,PSP,Taito,Taito Corporation,,,,,,,,,,23rd Feb 06,,Action
42079,Ooga Booga,DC,Sega,Visual Concepts,,7.8,,,,,,,,13th Sep 01,,Action
42080,Ookami Ichio Funtouki: Sakura Wars Kayou Show - Benitokage Yori,DC,Sega,Overworks,,,,,,,,,,24th Feb 00,,Misc
42081,Oops! Prank Party,Wii,Hudson Soft,Hudson Soft,,,,,,,,,,08th Oct 10,,Misc
42082,Oozumou Tamashii,SNES,Takara,Takara,,,,,,,,,,11th Dec 92,,Fighting
42083,Open Doors To Escape,And,Mobest Media,Unknown,,,,,,,,,,11th Jun 13,,Misc
42084,Open Me!,PSV,Sony Computer Entertainment America,Unknown,,,,,,,,,,13th Aug 13,,Misc
42085,Operation Air Assault,PS2,Midas Interactive Entertainment,InterActive Vision Games,,,,,,,,,,25th Feb 05,,Simulation
42086,Operation Air Assault 2,PC,Unknown,InterActive Vision Games,,,,,,,,,,,,Simulation
42087,Operation C,GB,Ultra Games,Konami,,,,,,,,,,01st Feb 91,,Shooter
42088,Operation Creature Feature,PSN,Sony Computer Entertainment,SCEE London Studio,,,,,,,,,,20th Nov 07,,Puzzle
42089,Operation Darkness,XBL,Success,Success,,,,,,,,,,23rd Mar 10,,Role-Playing
42090,Operation Europe,SNES,KOEI,Koei,,,,,,,,,,01st Jun 94,,Strategy
