Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
631,Lost Planet,Series,Capcom,Capcom,,,,6.80m,,,,,,12th Jan 07,04th Feb 20,Shooter
632,Mario Strikers,Series,Nintendo,Next Level Games,,,,6.74m,,,,,,05th Dec 05,21st Feb 20,Sports
633,Uncharted 2: Among ThievesRead the review,PS3,Sony Computer Entertainment,Naughty Dog,9.2,9.5,9.6,,3.28m,2.22m,0.21m,1.02m,6.74m,13th Oct 09,,Action
634,Star Wars: Knights of the Old Republic,Series,LucasArts,BioWare,,,,6.73m,,,,,,15th Jul 03,01st Mar 20,Role-Playing
635,Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,,9.5,9.6,,3.13m,2.27m,0.28m,1.04m,6.72m,05th Nov 07,,Shooter
636,Tomodachi Life,3DS,Nintendo,Nintendo,,7.8,,6.72m,,,,,,06th Jun 14,05th Jan 18,Simulation
637,Kingdom Hearts III,All,Square Enix,Square Enix,,,,6.70m,,,,,,29th Jan 19,08th Nov 20,Role-Playing
638,Lego Star Wars: The Video Game,All,Eidos Interactive,TT Games,,7.8,,6.70m,,,,,,29th Mar 05,09th Jun 21,Action-Adventure
639,Pokémon Pinball,Series,Nintendo,Jupiter,,,,6.68m,,,,,,29th Jun 99,12th Aug 23,Misc
640,FIFA Soccer 12,PS3,EA Sports,EA Canada,,9.2,,,0.84m,4.33m,0.11m,1.37m,6.65m,27th Sep 11,,Sports
