Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
491,Super Mario 3D All-StarsRead the review,NS,Nintendo,Nintendo,7.0,,,9.07m,,,,,,18th Sep 20,04th Sep 20,Platform
492,Rust,PC,Facepunch Studios,Facepunch Studios,,6.1,,9.02m,,,,,,08th Feb 18,19th Mar 18,Action-Adventure
493,Assassin's Creed II,All,Ubisoft,Ubisoft Montreal,,,,9.00m,,,,,,17th Nov 09,21st Oct 20,Action-Adventure
494,Battlefield: Bad Company 2,All,Electronic Arts,EA DICE,,,,9.00m,,,,,,02nd Mar 10,23rd Oct 20,Shooter
495,Harry Potter and the Chamber of Secrets,All,Electronic Arts,EA UK,,,,9.00m,,,,,,15th Nov 02,29th Sep 22,Action-Adventure
496,NieR: Automata,All,Square Enix,PlatinumGames,,,,9.00m,,,,,,07th Mar 17,24th Dec 20,Role-Playing
497,Payday,Series,Daybreak Games,Overkill Software,,,,9.00m,,,,,,18th Oct 11,16th Feb 20,Shooter
498,Star Wars Battlefront II (2017),All,Electronic Arts,EA DICE,,6.7,,9.00m,,,,,,17th Nov 17,31st Oct 20,Shooter
499,The Experience,Series,Ubisoft,Ubisoft,,,,9.00m,,,,,,06th Nov 10,10th Feb 20,Music
500,Ninja Gaiden,Series,Tecmo,Tecmo,,,,8.96m,,,,,,01st Oct 88,23rd Jan 21,Action
