Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
321,Super Smash Bros. BrawlRead the review,Wii,Nintendo,Project Sora,9.2,9.2,9.7,13.32m,,,,,,09th Mar 08,,Fighting
322,Rock Band,Series,MTV Games,Harmonix,,,,13.20m,,,,,,20th Nov 07,18th Apr 21,Music
323,Grand Theft Auto III,PS2,Rockstar Games,DMA Design,,9.5,,,6.99m,4.51m,0.30m,1.30m,13.10m,23rd Oct 01,,Action
324,Portal 2,PC,Valve,Valve Software,,9.7,,13.06m,,,,,,19th Apr 11,,Shooter
325,Animal Crossing: New LeafRead the review,3DS,Nintendo,Nintendo EAD,9.0,8.6,,13.06m,,,,,,09th Jun 13,02nd Jan 18,Simulation
326,Ace Attorney,Series,Capcom,Capcom,,,,13.00m,,,,,,12th Oct 05,04th Feb 20,Adventure
327,ARMA,Series,505 Games,Bohemia Interactive,,,,13.00m,,,,,,04th May 07,17th Feb 20,Shooter
328,Cities: Skylines,Series,Paradox Interactive,Colossal Order,,,,13.00m,,,,,,10th Mar 15,07th Feb 24,Simulation
329,Dragon's Dogma,Series,Capcom,Capcom,,,,13.00m,,,,,,22nd May 12,04th Feb 20,Role-Playing
330,Ghost,Series,Sony Interactive Entertainment,Sucker Punch Productions,,,,13.00m,,,,,,17th Jul 20,25th Sep 24,Action-Adventure
