Rank,Genre
64001,Action-Adventure
64002,Action-Adventure
64003,Shooter
64004,Shooter
64005,Shooter
64006,Shooter
64007,Strategy
64008,Shooter
64009,Shooter
64010,Shooter
64011,Strategy
64012,Shooter
64013,Action-Adventure
64014,Action
64015,Action
64016,Action
64017,Action
64018,Action
64019,Action
64020,Action
64021,Platform
64022,Action
64023,Racing
64024,Racing
64025,Racing
64026,Racing
64027,Racing
64028,Racing
64029,Racing
64030,Platform
64031,Action
64032,Action
64033,Puzzle
64034,Puzzle
64035,Puzzle
64036,Puzzle
64037,Puzzle
64038,Puzzle
64039,Puzzle
64040,Puzzle
64041,Puzzle
64042,Puzzle
64043,Puzzle
64044,Puzzle
64045,Puzzle
64046,Puzzle
64047,Puzzle
64048,Puzzle
64049,Puzzle
64050,Visual Novel
64051,Visual Novel
64052,Strategy
64053,Adventure
64054,Adventure
64055,Adventure
64056,Education
64057,Role-Playing
64058,Role-Playing
64059,Role-Playing
64060,Adventure
64061,Adventure
64062,Adventure
64063,Adventure
64064,Adventure
64065,Adventure
64066,Adventure
64067,Action-Adventure
64068,Action-Adventure
64069,Action-Adventure
64070,Action-Adventure
64071,Action-Adventure
64072,Platform
64073,Platform
64074,Platform
64075,Platform
64076,Action
64077,Role-Playing
64078,Role-Playing
64079,Adventure
64080,Adventure
64081,Adventure
64082,Strategy
64083,Strategy
64084,Strategy
64085,Action
64086,Action
64087,Role-Playing
64088,Role-Playing
64089,Role-Playing
64090,Misc
64091,Misc
64092,Strategy
64093,Misc
64094,Action
64095,Action
64096,Action
64097,Action-Adventure
64098,Action-Adventure
64099,Adventure
64100,Adventure
64101,Adventure
64102,Puzzle
64103,Puzzle
64104,Puzzle
64105,Puzzle
64106,Puzzle
64107,Adventure
64108,Misc
64109,Adventure
64110,Adventure
64111,Role-Playing
64112,Role-Playing
64113,Action-Adventure
64114,Action-Adventure
64115,Action-Adventure
64116,Action-Adventure
64117,Action-Adventure
64118,Action-Adventure
64119,Action-Adventure
64120,Action-Adventure
64121,Action-Adventure
64122,Action-Adventure
64123,Adventure
64124,Adventure
64125,Adventure
64126,Adventure
64127,Adventure
64128,Adventure
64129,Adventure
64130,Adventure
64131,Adventure
64132,Adventure
64133,Adventure
64134,Adventure
64135,Adventure
64136,Adventure
64137,Shooter
64138,Adventure
64139,Misc
64140,Action-Adventure
64141,Action-Adventure
64142,Action-Adventure
64143,Action-Adventure
64144,Action
64145,Sports
64146,Adventure
64147,Adventure
64148,Adventure
64149,Adventure
64150,Adventure
64151,Adventure
64152,Adventure
64153,Adventure
64154,Adventure
64155,Adventure
64156,Adventure
64157,Adventure
64158,Adventure
64159,Misc
64160,Racing
64161,Racing
64162,Racing
64163,Racing
64164,Racing
64165,Adventure
64166,Platform
64167,Platform
64168,Platform
64169,Platform
64170,Platform
64171,Platform
64172,Puzzle
64173,Shooter
64174,Shooter
64175,Shooter
64176,Strategy
64177,Strategy
64178,Strategy
64179,Strategy
64180,Action-Adventure
64181,Action-Adventure
64182,Action-Adventure
64183,Action-Adventure
64184,Action-Adventure
64185,Adventure
64186,Adventure
64187,Adventure
64188,Adventure
64189,Adventure
64190,Adventure
64191,Adventure
64192,Adventure
64193,Adventure
64194,MMO
64195,MMO
64196,MMO
64197,Action
64198,Action
64199,Adventure
64200,Adventure
64201,Role-Playing
64202,Role-Playing
64203,Strategy
64204,Strategy
64205,Strategy
64206,Strategy
64207,Strategy
64208,Strategy
64209,Platform
64210,Misc
64211,Shooter
64212,Racing
64213,Role-Playing
64214,MMO
64215,MMO
64216,MMO
64217,MMO
64218,MMO
64219,MMO
64220,MMO
64221,MMO
64222,MMO
64223,MMO
64224,Role-Playing
64225,Role-Playing
64226,Role-Playing
64227,Role-Playing
64228,Role-Playing
64229,Role-Playing
64230,Role-Playing
64231,Role-Playing
64232,Role-Playing
64233,Role-Playing
64234,Role-Playing
64235,Role-Playing
64236,Role-Playing
64237,Role-Playing
64238,Role-Playing
64239,Role-Playing
64240,Role-Playing
64241,Role-Playing
64242,Role-Playing
64243,Role-Playing
64244,Misc
64245,Misc
64246,Misc
64247,Misc
64248,Misc
64249,Adventure
64250,Adventure
64251,Adventure
64252,Adventure
64253,Adventure
64254,Adventure
64255,Adventure
64256,Adventure
64257,Adventure
64258,Adventure
64259,Adventure
64260,Adventure
64261,Adventure
64262,Adventure
64263,Sports
64264,Puzzle
64265,Puzzle
64266,Action
64267,Role-Playing
64268,Action-Adventure
64269,Action-Adventure
64270,Adventure
64271,Action-Adventure
64272,Action-Adventure
64273,Action-Adventure
64274,Action-Adventure
64275,Action-Adventure
64276,Action
64277,Action-Adventure
64278,Shooter
64279,Shooter
64280,Shooter
64281,Shooter
64282,Role-Playing
64283,Role-Playing
64284,Role-Playing
64285,Shooter
64286,Shooter
64287,Shooter
64288,Shooter
64289,Adventure
64290,Action-Adventure
64291,Action-Adventure
64292,Action-Adventure
64293,Misc
64294,Shooter
64295,Role-Playing
64296,Role-Playing
64297,Role-Playing
64298,Role-Playing
64299,Role-Playing
64300,Role-Playing
64301,Visual Novel
64302,Action-Adventure
64303,Action-Adventure
64304,Puzzle
64305,Puzzle
64306,Adventure
64307,Role-Playing
64308,Role-Playing
64309,Role-Playing
64310,Adventure
64311,Adventure
64312,Adventure
64313,Puzzle
64314,Strategy
64315,Role-Playing
64316,Action-Adventure
64317,Action-Adventure
64318,Action-Adventure
64319,Adventure
64320,Shooter
64321,Shooter
64322,Visual Novel
64323,Visual Novel
64324,Shooter
64325,Strategy
64326,Strategy
64327,Music
64328,Music
64329,Platform
64330,Puzzle
64331,Adventure
64332,Adventure
64333,Adventure
64334,Adventure
64335,Party
64336,Party
64337,Party
64338,Party
64339,Party
64340,Party
64341,Party
64342,Platform
64343,Misc
64344,Action
64345,Action
64346,Action
64347,Action
64348,Action
64349,Action
64350,Action
64351,Action
64352,Action
64353,Action
64354,Action
64355,Action
64356,Action
64357,Action
64358,Action
64359,Action
64360,Action
64361,Action
64362,Action
64363,Action
64364,Action
64365,Action
64366,Action
64367,Action
64368,Action
64369,Action
64370,Action
64371,Action
64372,Action
64373,Action
64374,Action
64375,Action
64376,Fighting
64377,Fighting
64378,Fighting
64379,Fighting
64380,Fighting
64381,Fighting
64382,Fighting
64383,Fighting
64384,Action-Adventure
64385,Action-Adventure
64386,Action-Adventure
64387,Action-Adventure
64388,Action-Adventure
64389,Action-Adventure
64390,Strategy
64391,Strategy
64392,Strategy
64393,Strategy
64394,Action-Adventure
64395,Adventure
64396,Adventure
64397,Adventure
64398,Adventure
64399,Action-Adventure
64400,Action-Adventure
64401,Puzzle
64402,Puzzle
64403,Platform
64404,Platform
64405,Action-Adventure
64406,Action-Adventure
64407,Action-Adventure
64408,Action-Adventure
64409,Action-Adventure
64410,Action-Adventure
64411,Role-Playing
64412,Role-Playing
64413,Role-Playing
64414,Adventure
64415,Adventure
64416,Adventure
64417,Adventure
64418,Role-Playing
64419,Role-Playing
64420,Role-Playing
64421,Role-Playing
64422,Role-Playing
64423,Role-Playing
64424,Role-Playing
64425,Role-Playing
64426,Role-Playing
64427,Role-Playing
64428,Role-Playing
64429,Role-Playing
64430,Role-Playing
64431,Role-Playing
64432,Role-Playing
64433,Role-Playing
64434,Role-Playing
64435,Role-Playing
64436,Role-Playing
64437,Role-Playing
64438,Role-Playing
64439,Role-Playing
64440,Role-Playing
64441,Role-Playing
64442,Role-Playing
64443,Role-Playing
64444,Role-Playing
64445,Role-Playing
64446,Role-Playing
64447,Role-Playing
64448,Role-Playing
64449,Role-Playing
64450,Role-Playing
64451,Role-Playing
64452,Role-Playing
64453,Role-Playing
64454,Action
64455,Shooter
64456,Action-Adventure
64457,Action
64458,Action
64459,Action
64460,Action
64461,Shooter
64462,Shooter
64463,Adventure
64464,Adventure
64465,Adventure
64466,Adventure
64467,Adventure
64468,Adventure
64469,Adventure
64470,Adventure
64471,Adventure
64472,Adventure
64473,Simulation
64474,Simulation
64475,Adventure
64476,Adventure
64477,Action
64478,Adventure
64479,Board Game
64480,Strategy
64481,Strategy
64482,Strategy
64483,Strategy
64484,Action-Adventure
64485,Action-Adventure
64486,Action-Adventure
64487,Action
64488,Action
64489,Action
64490,Action-Adventure
64491,Action-Adventure
64492,Action-Adventure
64493,Adventure
64494,Action
64495,Adventure
64496,Adventure
64497,Adventure
64498,Adventure
64499,Adventure
64500,Platform
64501,Platform
64502,Platform
64503,Platform
64504,Adventure
64505,Adventure
64506,Visual Novel
64507,Action
64508,Action
64509,Action
64510,Action
