Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
54001,Xtreme Polygon,XBL,Microsoft,ASuperSonic,,,,,,,,,,24th Jul 09,,Shooter
54002,Xtreme Polygon 2,XBL,Microsoft,ASuperSonic,,,,,,,,,,20th Dec 09,,Shooter
54003,Xtreme Sports,DC,Infogrames,Innerloop,,,,,,,,,,27th Nov 00,,Sports
54004,Xtreme Sports,GB,Infogrames,WayForward Technologies,,,,,,,,,,28th Jun 00,,Sports
54005,Xtreme Sports Arcade Summer Edition,PC,GT Interactive,WayForward,,,,,,,,,,01st Jan 99,,Sports
54006,Xtreme Wheels,GB,BAM! Entertainment,Spike,,,,,,,,,,26th Apr 01,,Racing
54007,XType Plus,WiiU,PhobosLab,PhobosLab,,,,,,,,,,14th Aug 14,,Shooter
54008,Xyanide Resurrection,PSP,Unknown,Playlogic,,,,,,,,,,31st Dec 20,,Shooter
54009,Xyanide Resurrection,PS2,Playlogic Game Factory,Playlogic,,,,,,,,,,31st Jul 07,,Action
54010,Xyanide Resurrection,PC,Playlogic International NV,Playlogic,,,,,,,,,,04th Sep 08,,Shooter
54011,Xybots,Lynx,Atari,Tengen,,,,,,,,,,01st Jan 91,,Action
54012,Y: The Case of John Yesterday,PC,Unknown,Pendulo Studios,,,,,,,,,,,,Adventure
54013,Yager,PC,THQ,Yager Development,,,,,,,,,,03rd Oct 03,,Shooter
54014,Yaiba: Ninja Gaiden Z,PC,Tecmo Koei,Unknown,,,,,,,,,,04th Mar 14,,Misc
54015,Yak Dash (Horns of Glory),And,Unknown,Unknown,,,,,,,,,,01st Oct 14,,Misc
54016,Yakiniku Bugyou,PS,Media Entertainment,G-mode,,,,,,,,,,24th May 01,,Simulation
54017,Yakiniku Bugyou,PSN,Unknown,G-mode,,,,,,,,,,05th Jul 11,,Simulation
54018,Yakiniku Bugyou Bonfire!,PS2,Media Entertainment,Media Entertainment,,,,,,,,,,14th Aug 03,,Misc
54019,Yakitate!! Japan Game 1 Gou Choujou Kessen!! Pantasic Grand Prix!,DS,Bandai,Bandai,,,,,,,,,,12th Jan 06,,Misc
54020,Yakouchuu,SNES,Athena,Athena,,,,,,,,,,16th Jun 95,,Adventure
54021,Yakouchuu GB,GB,Athena,Athena,,,,,,,,,,22nd Oct 99,,Adventure
54022,Yakouchuu II: Satsujin Kouru,N64,Athena,Athena,,,,,,,,,,22nd Oct 99,,Adventure
54023,Yaku: Yuujou Dangi,PS,Idea Factory,Idea Factory,,,,,,,,,,13th Jan 96,,Adventure
54024,Yakuman DS,DS,Nintendo,Intelligent Systems,,,,,,,,,,31st Mar 05,,Misc
54025,Yakuman Wii: Ide Yosuke no Kenkou Mahjong,WW,Nintendo,Nintendo,,,,,,,,,,20th May 08,,Misc
54026,Yakuza Fury,PS2,505 Games,Vingt-et-un Systems,,,,,,,,,,16th Nov 05,,Action
54027,Yakuza Online,PC,Sega,Sega,,,,,,,,,,01st Jan 19,,Action
54028,Yakuza Online,And,Sega,Sega,,,,,,,,,,01st Jan 19,,Action
54029,Yamada Kamachi Bijutsukan: Kamachi's Museum,3DO,Unknown,TV Asahi,,,,,,,,,,09th Jun 95,,Misc
54030,Yamada Yuusuke World Puzzle: Bokura no 48 Jikan Sensou,PSP,Kadokawa Shoten,Kadokawa Shoten,,,,,,,,,,26th Nov 09,,Puzzle
54031,Yamaha Supercross,PS2,DSI Games,Coyote Console,,,,,,,,,,14th Jul 09,,Racing
54032,Yamaha Supercross,PC,DSI Games,Coyote Console,,,,,,,,,,14th Jul 08,,Racing
54033,Yamakawa Ichimonittou Nihonshi B Yougo Mondaishuu,GB,Imagineer,Imagineer,,,,,,,,,,22nd Apr 98,,Misc
54034,Yamakawa Ichimonittou Sekaishi B Yougo Mondaishuu,GB,Imagineer,Imagineer,,,,,,,,,,20th Mar 98,,Misc
54035,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B: Shin Sougou Training Plus,DS,Namco Bandai,Bandai Namco Games,,,,,,,,,,04th Feb 10,,Misc
54036,Yamakawa Shuppansha Kanshuu: Shousetsu Sakaishi B: Shin Sougou Training Plus,DS,Namco Bandai,Bandai Namco Games,,,,,,,,,,04th Feb 10,,Misc
54037,Yamamura Misa Suspense: Kyoto Kurama Sansou Satsujin Jiken,3DO,Pack-In-Video,Tikipod,,,,,,,,,,20th Mar 94,,Adventure
54038,Yamasa Digi Guide: Faust,PS,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,18th Jan 01,,Misc
54039,Yamasa Digi Guide: Faust,PSN,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,29th Oct 08,,Misc
54040,Yamasa Digi Guide: Hyper Rush,PS,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,05th Oct 00,,Misc
54041,Yamasa Digi Guide: Hyper Rush,PSN,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,11th Jun 08,,Misc
54042,Yamasa Digi Guide: M-771,PS,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,16th Nov 00,,Misc
54043,Yamasa Digi Guide: M-771,PSN,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,11th Jun 08,,Misc
54044,Yamasa Digi Guide: New Pulsar R,PS,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,05th Oct 00,,Misc
54045,Yamasa Digi Guide: New Pulsar R,PSN,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,11th Jun 08,,Misc
54046,Yamasa Digi Guide: Umekagetsu R,PS,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,21st Dec 00,,Misc
54047,Yamasa Digi Guide: Umekagetsu R,PSN,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,11th Mar 09,,Misc
54048,Yamasa Digi Selection,PS,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,25th Apr 02,,Misc
54049,Yamasa Digi Selection,PSN,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,23rd Jul 08,,Misc
54050,Yamasa Digi Selection 2,PSN,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,27th Aug 08,,Misc
54051,Yamasa Digi Selection 2,PS,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,28th Nov 02,,Misc
54052,Yamasa Digi World 2: LCD Edition,PS2,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,24th Jan 02,,Misc
54053,Yamasa Digi World 3,PS2,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,25th Jul 02,,Misc
54054,Yamasa Digi World 4,PS2,Yamasa Entertainment,Yamasa Entertainment,,,,,,,,,,20th Feb 03,,Misc
54055,Yamasa Digi World Series: Matsuri no Tatsujin,PS2,Unknown,Yamasa Entertainment,,,,,,,,,,,,Misc
