Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre,Developers
76,Wii Fit,Series,Nintendo,Nintendo,,,,43.80m,,,,,,21st May 08,19th Feb 20,Misc,"Nintendo, Ganbarion"
77,BioShock,Series,2K Games,Irrational Games,,,,43.00m,,,,,,21st Aug 07,08th Feb 20,Shooter,"Irrational Games, 2K Australia, 2K Marin"
78,Mega Man,Series,Capcom,Capcom,,,,42.00m,,,,,,17th Dec 87,03rd Feb 20,Platform,"Capcom, Inti Creates"
79,Gears of War,Series,Microsoft Game Studios,Epic Games,,,,41.00m,,,,,,07th Nov 06,11th Mar 20,Shooter,"Epic Games, People Can Fly, The Coalition, Mediatonic, Splash Damage"
80,Stardew Valley,Series,Chucklefish,ConcernedApe,,,,41.00m,,,,,,26th Feb 16,12th Feb 20,Simulation,ConcernedApe
