Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
48001,Splatterhouse: Wanpaku Graffiti,NES,Namco,Namco,,,,,,,,,,31st Jul 89,,Action
48002,Splemy,WinP,Midway Studios San Diego,Unknown,,,,,,,,,,25th Apr 14,,Misc
48003,Splice,OSX,Cipher Prime,Cipher Prime,,,,,,,,,,13th Jun 12,17th Apr 19,Puzzle
48004,Splice,And,Cipher Prime,Cipher Prime,,,,,,,,,,09th Dec 12,17th Apr 19,Puzzle
48005,Splice,iOS,Cipher Prime,Cipher Prime,,,,,,,,,,05th Mar 13,17th Apr 19,Puzzle
48006,Split/Second,PSN,Disney Interactive Studios,Black Rock Studio,,,,,,,,,,16th Nov 10,,Racing
48007,SPOGS Racing,WW,D2C Games,D2C Games,,,,,,,,,,07th Jul 08,,Racing
48008,SpongeBob Diner Dash,PC,PlayFirst,GameLab,,,,,,,,,,04th Jan 07,,Puzzle
48009,SpongeBob SquarePants and the Nicktoons GravJet Racing,XBL,MTV Games,MTV Games,,,,,,,,,,23rd Dec 09,,Racing
48010,SpongeBob SquarePants: Battle for Bikini Bottom,PC,THQ,AWE Games,,,,,,,,,,31st Oct 03,,Platform
48011,SpongeBob SquarePants: Battle for Bikini Bottom + Jimmy Neutron Boy Genius,GBA,THQ,"Vicarious Visions / Human Soft, Inc.",,,,,,,,,,30th Jun 05,,Misc
48012,Spongebob Squarepants: Creature from the Krusty Krab,PS2,THQ,Blitz Games,,,,,,,,,,16th Oct 06,,Platform
48013,SpongeBob SquarePants: Creature from the Krusty Krab,GBA,THQ,WayForward Technologies,,,,,,,,,,16th Oct 06,,Platform
48014,SpongeBob SquarePants: Creature from the Krusty Krab,PC,THQ,Blitz Games,,,,,,,,,,16th Oct 06,,Platform
48015,SpongeBob SquarePants: Employee of the Month,PC,THQ,AWE Games,,,,,,,,,,23rd Sep 02,,Adventure
48016,SpongeBob SquarePants: Legend of the Lost Spatula,GB,THQ,Vicarious Visions,,,,,,,,,,14th Mar 01,,Action
48017,"SpongeBob SquarePants: Lights, Camera, Pants!",DS,Unknown,THQ,,,,,,,,,,,,Misc
48018,SpongeBob SquarePants: Operation Krabby Patty,PC,THQ,Awesome Productions,,,,,,,,,,24th Sep 01,,Action
48019,SpongeBob SquarePants: Plankton's Robotic Revenge,DS,Activision,Engine Software,,,,,,,,,,22nd Oct 13,17th Dec 20,Platform
48020,SpongeBob SquarePants: Plankton's Robotic Revenge,Wii,Activision,Behaviour Interactive,,,,,,,,,,22nd Oct 13,17th Dec 20,Platform
48021,SpongeBob SquarePants: Plankton's Robotic Revenge,PS3,Activision,Behaviour Interactive,,,,,,,,,,22nd Oct 13,17th Dec 20,Platform
48022,SpongeBob SquarePants: The Yellow Avenger,PSN,THQ,Tantalus Interactive,,,,,,,,,,30th Sep 09,,Action
48023,SpongeBob SquarePants: Underpants Slam!,XBL,THQ,Blitz Arcade,,,,,,,,,,26th Dec 07,,Action
48024,SpongeBob's Atlantis SquarePantis,GBA,THQ,Altron,,,,,,,,,,23rd Oct 07,,Adventure
48025,Spooklands,And,Unknown,Unknown,,,,,,,,,,20th Aug 14,,Action
48026,Spooky,XBL,Microsoft,Loopy Max,,,,,,,,,,03rd Dec 09,,Puzzle
48027,Spore Creature Creator,PC,Electronic Arts,EA Redwood Shores,,,,,,,,,,17th Jun 08,,Simulation
48028,Spore Creature Keeper,PC,Unknown,Maxis,,,,,,,,,,,,Strategy
48029,Sports Action Pack,2600,Activision,Activision,,,,,,,,,,01st Jan 88,,Sports
48030,Sports Car GT,PC,Electronic Arts,Image Space Inc.,,,,,,,,,,30th Apr 99,22nd Mar 18,Racing
48031,Sports Collection,GB,Tonkin House,Tonkin House,,,,,,,,,,27th Sep 96,,Sports
48032,Sports Fest,Wii,Unknown,Hudson Soft,,,,,,,,,,,,Sports
48033,Sports Illustrated for Kids: The Ultimate Triple Dare,GB,Malibu Games,Halestorm,,,,,,,,,,01st Apr 94,,Sports
48034,Sports Illustrated Golf,GG,Sega,Sega,,,,,,,,,,01st Jan 94,,Sports
48035,Sports Illustrated Golf Classic,GB,Malibu Games,Unexpected Development,,,,,,,,,,01st Oct 94,,Sports
