Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre,Developers
51,Donkey Kong,Series,Nintendo,Nintendo,,,,65.00m,,,,,,31st Jul 81,21st Feb 20,Platform,"Nintendo, Ikegami Tsushinki, Rare, Namco, Paon, Retro Studios"
52,The Oregon Trail,Series,MECC,MECC,,,,65.00m,,,,,,03rd Dec 71,18th Feb 20,Education,"MECC, Broderbund, Gameloft"
53,Metal Gear,Series,Konami,Konami,,,,62.40m,,,,,,13th Jul 87,26th Feb 20,Action-Adventure,"Konami, Kojima Productions, Bluepoint Games, Ideaworks Game Studio, PlatinumGames, Silicon Knights"
54,Star Wars: Battlefront,Series,LucasArts,Pandemic Studios,,,,60.00m,,,,,,21st Sep 04,24th Feb 20,Shooter,"Pandemic Studios, Free Radical Design, Rebellion Developments, Slant Six Games, LucasArts, EA DICE, Criterion Games, Motive Studios"
55,The Elder Scrolls V: Skyrim,All,Bethesda Softworks,Bethesda Game Studios,,9.4,,60.00m,,,,,,10th Nov 11,27th Oct 20,Role-Playing,Bethesda Game Studios
