Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
341,Fable,Series,Microsoft Game Studios,Big Blue Box,,,,12.58m,,,,,,14th Sep 04,25th Jul 20,Role-Playing
342,Batman: Arkham City,All,Warner Bros. Interactive Entertainment,Rocksteady Studios,,,,12.50m,,,,,,18th Oct 11,09th Nov 20,Action-Adventure
343,Myst,Series,Broderbund,"Cyan, Inc.",,,,12.50m,,,,,,24th Sep 93,09th Mar 20,Adventure
344,Rust,All,Facepunch Studios,Facepunch Studios,,,,12.48m,,,,,,08th Feb 18,10th Jan 22,Action-Adventure
345,The Witcher 3: Wild HuntRead the review,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,,,,12.40m,,,,,,19th May 15,04th May 18,Role-Playing
346,Mario Golf,Series,Nintendo,Nintendo,,,,12.35m,,,,,,29th Sep 91,21st Feb 20,Sports
347,Wario,Series,Nintendo,Nintendo,,,,12.13m,,,,,,13th Mar 94,22nd Feb 20,Platform
348,7 Days to Die,All,The Fun Pimps,The Fun Pimps,,,,12.00m,,,,,,13th Dec 13,15th Aug 21,Role-Playing
349,Assassin's Creed III,All,Ubisoft,Ubisoft Montreal,,,,12.00m,,,,,,30th Oct 12,21st Oct 20,Action-Adventure
350,Assetto Corsa,All,Kunos Simulazioni,Kunos Simulazioni,,,,12.00m,,,,,,19th Dec 14,31st May 21,Racing
