Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
291,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo,Game Freak,,,,14.63m,,,,,,21st Nov 14,03rd Aug 18,Role-Playing
292,FIFA 13,All,EA Sports,EA Canada,,8.6,,14.50m,,,,,,25th Sep 12,15th Oct 20,Sports
293,Grand Theft Auto III,All,Rockstar Games,Rockstar North,,9.8,,14.50m,,,,,,22nd Oct 01,14th Oct 20,Action-Adventure
294,Halo 3Read the review,X360,Microsoft Game Studios,Bungie Studios,8.8,9.6,9.5,14.50m,,,,,,25th Sep 07,11th Oct 18,Shooter
295,Lego Batman,Series,Warner Bros. Interactive Entertainment,TT Fusion,,,,14.40m,,,,,,23rd Sep 08,20th Jul 21,Action-Adventure
296,Marvel's Spider-Man: Miles Morales,All,Sony Interactive Entertainment,Insomniac Games,,8.7,,14.40m,,,,,,12th Nov 20,03rd Feb 21,Action-Adventure
297,Resident Evil 7,All,Capcom,Capcom,,,,14.40m,,,,,,24th Jan 17,11th Oct 20,Action-Adventure
298,Resident Evil 6,All,Capcom,Capcom,,,,14.30m,,,,,,02nd Oct 12,11th Oct 20,Action-Adventure
299,Luigi's Mansion 3Read the review,NS,Nintendo,"Next Level Games, Inc.",6.0,,,14.25m,,,,,,31st Oct 19,03rd Aug 20,Action-Adventure
300,Everybody's Golf,Series,Sony Interactive Entertainment,Camelot Software,,,,14.19m,,,,,,30th Apr 98,09th Mar 20,Sports
