Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
511,Monument Valley,Series,Ustwo Games,Ustwo Games,,,,8.59m,,,,,,03rd Apr 14,30th Jan 21,Puzzle
512,Resistance,Series,Sony Computer Entertainment,Insomniac Games,,,,8.53m,,,,,,17th Nov 06,24th Dec 23,Shooter
513,Pokémon Black 2 and White 2Read the review,DS,Nintendo,Game Freak,8.9,8.0,8.3,8.52m,,,,,,07th Oct 12,25th Feb 18,Role-Playing
514,NBA 2K17,All,2K Sports,Visual Concepts,,,,8.50m,,,,,,20th Sep 16,22nd Oct 20,Sports
515,Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,,7.9,,,3.11m,3.83m,0.19m,1.36m,8.48m,04th Nov 16,14th Jan 18,Shooter
516,Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,,8.6,,,2.91m,3.97m,0.27m,1.34m,8.48m,10th Nov 15,24th Mar 18,Role-Playing
517,Mario Kart 8Read the review,WiiU,Nintendo,Nintendo,8.4,8.8,,8.46m,,,,,,30th May 14,02nd Aug 20,Racing
518,Super Mario Maker 2,NS,Nintendo,Nintendo,,,,8.42m,,,,,,28th Jun 19,24th Apr 19,Platform
519,Horizon: Forbidden West,All,Sony Interactive Entertainment,Guerrilla Games,,,,8.40m,,,,,,18th Feb 22,17th Feb 22,Action-Adventure
520,Tekken 3,PS,Namco,Namco,,9.6,,8.36m,,,,,,29th Apr 98,,Fighting
