Rank,Genre
59001,Simulation
59002,Adventure
59003,Visual Novel
59004,Visual Novel
59005,Simulation
59006,Action-Adventure
59007,Action-Adventure
59008,Action-Adventure
59009,Action-Adventure
59010,Action-Adventure
59011,Action-Adventure
59012,Action
59013,Action
59014,Action
59015,Action
59016,Action
59017,Action
59018,Adventure
59019,Adventure
59020,Sports
59021,Strategy
59022,Strategy
59023,Strategy
59024,Adventure
59025,Adventure
59026,Adventure
59027,Adventure
59028,Visual Novel
59029,Visual Novel
59030,Action
59031,Adventure
59032,Strategy
59033,Action
59034,Action
59035,MMO
59036,Adventure
59037,Action
59038,Action-Adventure
59039,Action-Adventure
59040,Action-Adventure
59041,Platform
59042,Platform
59043,Action-Adventure
59044,Action-Adventure
59045,Action-Adventure
59046,Action-Adventure
59047,Action-Adventure
59048,Action-Adventure
59049,Action-Adventure
59050,Shooter
59051,Shooter
59052,Simulation
59053,Simulation
59054,Simulation
59055,Simulation
59056,Simulation
59057,Simulation
59058,Adventure
59059,Adventure
59060,Adventure
59061,Adventure
59062,Adventure
59063,Action
59064,Action
59065,Action
59066,Action
59067,Action
59068,Action
59069,Action
59070,Action
59071,Action
59072,Role-Playing
59073,Role-Playing
59074,Role-Playing
59075,Role-Playing
59076,Adventure
59077,Adventure
59078,Adventure
59079,Adventure
59080,Adventure
59081,Adventure
59082,Role-Playing
59083,Role-Playing
59084,Role-Playing
59085,Role-Playing
59086,Simulation
59087,Action
59088,Role-Playing
59089,Action
59090,Role-Playing
59091,Role-Playing
59092,Role-Playing
59093,Puzzle
59094,Action-Adventure
59095,Action-Adventure
59096,Action
59097,Action
59098,Adventure
59099,Adventure
59100,Adventure
59101,Adventure
59102,Adventure
59103,Adventure
59104,Shooter
59105,Shooter
59106,Shooter
59107,Shooter
59108,Visual Novel
59109,Puzzle
59110,Action
59111,Action
59112,Action
59113,Action
59114,Adventure
59115,Adventure
59116,Adventure
59117,Adventure
59118,Adventure
59119,Adventure
59120,Music
59121,Simulation
59122,Adventure
59123,Adventure
59124,Adventure
59125,Adventure
59126,Action-Adventure
59127,Shooter
59128,Action-Adventure
59129,Action-Adventure
59130,Action-Adventure
59131,Action-Adventure
59132,Action
59133,Action
59134,Action
59135,Platform
59136,Platform
59137,Platform
59138,Platform
59139,Platform
59140,Platform
59141,Platform
59142,Action
59143,Role-Playing
59144,Role-Playing
59145,Role-Playing
59146,Role-Playing
59147,Role-Playing
59148,Adventure
59149,Adventure
59150,Action-Adventure
59151,Action-Adventure
59152,Action-Adventure
59153,Action-Adventure
59154,Action-Adventure
59155,Action-Adventure
59156,Platform
59157,Simulation
59158,Simulation
59159,Simulation
59160,Simulation
59161,Simulation
59162,Simulation
59163,Simulation
59164,Simulation
59165,Simulation
59166,Adventure
59167,Adventure
59168,Strategy
59169,Misc
59170,Role-Playing
59171,Role-Playing
59172,Action-Adventure
59173,Action-Adventure
59174,Action-Adventure
59175,Action-Adventure
59176,Action-Adventure
59177,Action-Adventure
59178,Racing
59179,Racing
59180,Racing
59181,Racing
59182,Racing
59183,Action-Adventure
59184,Shooter
59185,Action-Adventure
59186,Action-Adventure
59187,Action-Adventure
59188,Action-Adventure
59189,Action-Adventure
59190,Misc
59191,Puzzle
59192,Sports
59193,Platform
59194,Platform
59195,Puzzle
59196,Sports
59197,Racing
59198,Racing
59199,Racing
59200,Racing
59201,Racing
59202,Racing
59203,Racing
59204,Racing
59205,Racing
59206,Action
59207,Action
59208,Action
59209,Puzzle
59210,Strategy
59211,Racing
59212,Simulation
59213,Simulation
59214,Simulation
59215,Shooter
59216,Platform
59217,Platform
59218,Platform
59219,Platform
59220,Misc
59221,Puzzle
59222,Puzzle
59223,Platform
59224,Puzzle
59225,Puzzle
59226,Puzzle
59227,Puzzle
59228,Platform
59229,Strategy
59230,Shooter
59231,Shooter
59232,Shooter
59233,Shooter
59234,Shooter
59235,Shooter
59236,Shooter
59237,Action
59238,Fighting
59239,Fighting
59240,Fighting
59241,Sports
59242,Shooter
59243,Action-Adventure
59244,Role-Playing
59245,Shooter
59246,Shooter
59247,Shooter
59248,Sports
59249,Sports
59250,Sports
59251,Sports
59252,Shooter
59253,Shooter
59254,Shooter
59255,Shooter
59256,Action
59257,Role-Playing
59258,Simulation
59259,Adventure
59260,Adventure
59261,Adventure
59262,Adventure
59263,Adventure
59264,Adventure
59265,Adventure
59266,Adventure
59267,Adventure
59268,Shooter
59269,Action
59270,Strategy
59271,Puzzle
59272,Puzzle
59273,Puzzle
59274,Adventure
59275,Adventure
59276,Adventure
59277,Adventure
59278,Adventure
59279,Adventure
59280,Puzzle
59281,Platform
59282,Platform
59283,Platform
59284,Platform
59285,Action
59286,Role-Playing
59287,Role-Playing
59288,Role-Playing
59289,Action-Adventure
59290,Action-Adventure
59291,Action-Adventure
59292,Fighting
59293,Visual Novel
59294,Shooter
59295,Role-Playing
59296,Role-Playing
59297,Role-Playing
59298,Role-Playing
59299,Action
59300,Action
59301,Shooter
59302,Strategy
59303,Strategy
59304,Strategy
59305,Strategy
59306,Shooter
59307,Shooter
59308,Shooter
59309,Shooter
59310,Role-Playing
59311,Adventure
59312,Adventure
59313,Adventure
59314,Adventure
59315,Adventure
59316,Adventure
59317,Adventure
59318,Action-Adventure
59319,Action-Adventure
59320,Shooter
59321,Shooter
59322,Shooter
59323,Shooter
59324,Strategy
59325,Action
59326,Puzzle
59327,Shooter
59328,Action-Adventure
59329,Action-Adventure
59330,Adventure
59331,Role-Playing
59332,Action-Adventure
59333,Action-Adventure
59334,Action-Adventure
59335,Action-Adventure
59336,Adventure
59337,Adventure
59338,Adventure
59339,Role-Playing
59340,Role-Playing
59341,Role-Playing
59342,Role-Playing
59343,Action-Adventure
59344,Action
59345,Action
59346,Action
59347,Sports
59348,Sports
59349,Sports
59350,Sports
59351,Action-Adventure
59352,Action-Adventure
59353,Action-Adventure
59354,Action-Adventure
59355,Adventure
59356,Adventure
59357,Adventure
59358,Action
59359,Action
59360,Action
59361,Adventure
59362,Adventure
59363,Adventure
59364,Adventure
59365,Misc
59366,Misc
59367,Fighting
59368,Fighting
59369,Fighting
59370,Strategy
59371,Strategy
59372,Strategy
59373,Strategy
59374,Strategy
59375,Strategy
59376,Adventure
59377,Adventure
59378,Adventure
59379,Adventure
59380,Strategy
59381,Shooter
59382,Adventure
59383,Shooter
59384,Shooter
59385,Strategy
59386,Strategy
59387,Strategy
59388,Strategy
59389,Strategy
59390,Strategy
59391,Action-Adventure
59392,Strategy
59393,Strategy
59394,Action
59395,Party
59396,Visual Novel
59397,Action-Adventure
59398,Action-Adventure
59399,Action-Adventure
59400,Action-Adventure
59401,Action-Adventure
59402,Action-Adventure
59403,Action-Adventure
59404,Action-Adventure
59405,Shooter
59406,Shooter
59407,Shooter
59408,Shooter
59409,Role-Playing
59410,Shooter
59411,Shooter
59412,Shooter
59413,Shooter
59414,Shooter
59415,Shooter
59416,Action
59417,Action
59418,Action
59419,Shooter
59420,Action
59421,Action
59422,Action
59423,Puzzle
59424,Visual Novel
59425,Visual Novel
59426,Visual Novel
59427,Visual Novel
59428,Simulation
59429,Education
59430,Education
59431,Education
59432,Education
59433,Simulation
59434,Simulation
59435,Simulation
59436,Simulation
59437,Simulation
59438,Simulation
59439,Simulation
59440,Puzzle
59441,Action-Adventure
59442,Action-Adventure
59443,Action-Adventure
59444,Action-Adventure
59445,Action-Adventure
59446,Action
59447,Action
59448,Action
59449,Action
59450,Shooter
59451,Shooter
59452,Action-Adventure
59453,Action-Adventure
59454,Action-Adventure
59455,Strategy
59456,Adventure
59457,Visual Novel
59458,Misc
59459,Role-Playing
59460,Role-Playing
59461,Role-Playing
59462,Role-Playing
59463,Role-Playing
59464,Role-Playing
59465,Strategy
59466,Strategy
59467,Strategy
59468,Strategy
59469,Strategy
59470,Platform
59471,Platform
59472,Platform
59473,Racing
59474,Visual Novel
59475,Shooter
59476,Party
59477,Adventure
59478,Adventure
59479,Adventure
59480,Puzzle
59481,Action
59482,Sports
59483,Sports
59484,Racing
59485,Role-Playing
59486,Platform
59487,Platform
59488,Strategy
59489,Strategy
59490,Action
59491,Action
59492,Action
59493,Racing
59494,Strategy
59495,Action
59496,Adventure
59497,Action
59498,Action
59499,Action
59500,Action
59501,Action
59502,Adventure
59503,Adventure
59504,Misc
59505,Adventure
59506,Adventure
59507,Adventure
59508,Shooter
59509,Shooter
59510,Shooter
59511,Fighting
59512,Fighting
59513,Fighting
59514,Fighting
59515,Fighting
59516,Fighting
59517,Action
59518,Action
59519,Action
59520,Action
59521,Fighting
59522,Fighting
59523,Sports
59524,Adventure
59525,Adventure
59526,Adventure
59527,Adventure
59528,Simulation
59529,Simulation
59530,Simulation
59531,Simulation
59532,Simulation
59533,Simulation
59534,Simulation
59535,Adventure
59536,Puzzle
59537,Puzzle
59538,Puzzle
59539,Puzzle
59540,Puzzle
59541,Action-Adventure
59542,Music
59543,Music
59544,Music
59545,Music
59546,Music
59547,Music
59548,Music
