Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre,Developers
46,Red Dead Redemption 2,All,Rockstar Games,Rockstar Studios,,9.8,,70.00m,,,,,,26th Oct 18,08th Oct 20,Action-Adventure,Rockstar Studios
47,WWE 2K,Series,2K Games,Visual Concepts,,,,70.00m,,,,,,02nd Mar 00,02nd Mar 20,Fighting,Visual Concepts
48,Mario Kart 8 Deluxe,NS,Nintendo,Nintendo EPD,,9.3,,67.35m,,,,,,28th Apr 17,19th Nov 18,Racing,Nintendo EPD
49,Counter-Strike,Series,Valve,Valve,,,,65.00m,,,,,,09th Nov 00,19th Feb 20,Shooter,"Valve, Turtle Rock Studios, Hidden Path Entertainment, Gearbox Software, Ritual Entertainment, Nexon"
50,Crash Bandicoot,Series,Sony Interactive Entertainment,Naughty Dog,,,,65.00m,,,,,,09th Sep 96,02nd Mar 20,Platform,"Naughty Dog, Eurocom, Dimps, Radical Entertainment, Polarbit, Vicarious Visions, Beenox"
