Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
66001,Yunohana SpRING! ~Mellow Times~,NS,Idea Factory,Otomate,,,,,,,,,,28th Feb 19,24th Feb 19,Visual Novel
66002,Yuppie Psycho,NS,Unknown,Baroque Decay,,,,,,,,,,,17th Apr 18,Adventure
66003,Yuppie Psycho,XOne,Unknown,Baroque Decay,,,,,,,,,,,17th Apr 18,Adventure
66004,Yuppie Psycho,PS4,Unknown,Baroque Decay,,,,,,,,,,,17th Apr 18,Adventure
66005,Yurukill: The Calumniation Games,PS4,Unknown,G.rev Ltd.,,,,,,,,,,,29th Sep 23,Visual Novel
66006,Zanki Zero: Last Beginning,PC,Spike Chunsoft,Lancarse,,,,,,,,,,09th Apr 19,27th Apr 18,Role-Playing
66007,ZarvotRead the review,NS,Unknown,Snowhydra Games,6.0,,,,,,,,,,14th Oct 18,Action
66008,Zaxxon,Int,Coleco,Coleco,,,,,,,,,,01st Jan 83,13th Jan 18,Shooter
66009,Zaxxon,CV,Coleco,Sega,,,,,,,,,,05th Oct 82,18th Oct 21,Shooter
66010,Zelda's Adventure,CDi,Philips Interactive Media,Viridis Corporation,,,,,,,,,,05th Jun 94,17th Apr 18,Action-Adventure
66011,Zenless Zone ZeroRead the review,PS5,miHoYo,miHoYo,7.5,,,,,,,,,04th Jul 24,05th Jun 24,Role-Playing
66012,Zenless Zone Zero,PC,Unknown,miHoYo,,,,,,,,,,,05th Jun 24,Role-Playing
66013,Zenless Zone Zero,iOS,Unknown,miHoYo,,,,,,,,,,,05th Jun 24,Role-Playing
66014,ZERO GUNNER 2,NS,Zerodiv,ZeroDiv,,,,,,,,,,25th Jan 18,26th Mar 18,Action
66015,ZJ the Ball Calculator,PS4,Unknown,Unknown,,,,,,,,,,24th Sep 22,12th Feb 24,Action
66016,ZJ the Ball Challenge (Level 1C),PS4,Unknown,Unknown,,,,,,,,,,18th Dec 21,12th Feb 24,Action
66017,ZJ the Ball Challenge (Level 2C),PS4,Unknown,Unknown,,,,,,,,,,25th Dec 21,12th Feb 24,Action
66018,ZJ the Ball Challenge (Level 3C),PS4,Unknown,Unknown,,,,,,,,,,01st Jan 22,12th Feb 24,Action
66019,ZJ the Ball Challenge (Level 4C),PS4,Unknown,Unknown,,,,,,,,,,08th Jan 22,12th Feb 24,Action
66020,ZJ the Ball Challenge (Level 5C),PS4,Unknown,Unknown,,,,,,,,,,15th Jan 22,12th Feb 24,Action
66021,ZJ the Ball Special,PS4,Unknown,Unknown,,,,,,,,,,,12th Feb 24,Action
66022,Zoids Wild: Blast Unleashed,NS,Outright Games,Outright Games,,,,,,,,,,16th Oct 20,07th Sep 20,Action
66023,Zoids Wild: King of Blast,NS,Takara Tomy,Takara Tomy,,,,,,,,,,28th Feb 19,24th Feb 19,Action
66024,Zombeer,WiiU,Unknown,Padaone Games,,,,,,,,,,,05th Jan 18,Action
66025,Zombie Army 4: Dead War,PS4,Rebellion Developments,Rebellion Games,,,,,,,,,,04th Feb 20,12th Jul 19,Shooter
66026,Zombie Army 4: Dead WarRead the review,XOne,Rebellion Developments,Rebellion Games,6.0,,,,,,,,,04th Feb 20,12th Jul 19,Shooter
66027,Zombie Army 4: Dead War,PC,Rebellion Developments,Rebellion Games,,,,,,,,,,04th Feb 20,12th Jul 19,Shooter
66028,Zombie Army Trilogy,NS,Rebellion Developments,Rebellion Developments,,,,,,,,,,31st Mar 20,06th Nov 21,Shooter
66029,Zombie Brigade: No Brain No Gain,WiiU,Unknown,Cypron Studios,,,,,,,,,,,25th Aug 20,Action
66030,ZOMBIE GOLD RUSH,NS,Amazing Inc.,Amazing Inc.,,,,,,,,,,26th Oct 17,26th Mar 18,Action
66031,Zombieland: Double Tap - Road Trip,NS,GameMill Entertainment,High Voltage Software,,,,,,,,,,15th Oct 19,22nd Sep 20,Shooter
66032,Zombieland: Double Tap - Road Trip,PS4,GameMill Entertainment,High Voltage Software,,4.0,,,,,,,,15th Oct 19,25th Sep 20,Shooter
66033,Zombieland: Double Tap - Road Trip,XOne,GameMill Entertainment,High Voltage Software,,,,,,,,,,15th Oct 19,25th Sep 20,Shooter
66034,Zombieland: Double Tap - Road Trip,PC,GameMill Entertainment,High Voltage Software,,,,,,,,,,15th Oct 19,25th Sep 20,Shooter
66035,Zombillie,NS,Forever Entertainment S.A.,Forever Entertainment S.A.,,,,,,,,,,29th Mar 18,26th Mar 18,Puzzle
66036,Zone of the Enders: The 2nd Runner MARS,PC,Konami,Cygames,,,,,,,,,,06th Sep 18,26th Sep 18,Simulation
66037,Zoo Tycoon: Ultimate Animal Collection,XOne,Microsoft Studios,Frontier Developments,,,,,,,,,,31st Oct 17,26th Sep 18,Simulation
66038,Zoo Tycoon: Ultimate Animal Collection,PC,THQ Nordic,Frontier Developments,,,,,,,,,,14th Sep 18,19th Nov 18,Simulation
66039,Zork: The Great Underground Empire,ApII,Unknown,"Infocom, Inc.",,,,,,,,,,,20th Aug 24,Adventure
