Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
55001,ACA NEOGEO NAM-1975,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,09th Mar 17,03rd Apr 18,Action
55002,ACA NEOGEO NAM-1975,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,02nd Mar 17,03rd Apr 18,Action
55003,ACA NEOGEO NAM-1975,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,02nd Mar 17,03rd Apr 18,Action
55004,ACA NEOGEO NEO TURF MASTERS,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,23rd Mar 17,04th Apr 18,Sports
55005,ACA NEOGEO NEO TURF MASTERS,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,23rd Feb 17,03rd Apr 18,Sports
55006,ACA NEOGEO NEO TURF MASTERS,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,23rd Feb 17,29th Mar 18,Sports
55007,ACA NEOGEO NINJA COMBAT,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,31st May 18,05th Aug 18,Action
55008,ACA NEOGEO NINJA COMBAT,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,08th Jun 18,05th Aug 18,Action
55009,ACA NEOGEO NINJA COMBAT,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,31st May 18,05th Aug 18,Action
55010,ACA NEOGEO OVER TOP,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,27th Apr 17,03rd Apr 18,Racing
55011,ACA NEOGEO OVER TOP,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,20th Apr 17,03rd Apr 18,Racing
55012,ACA NEOGEO OVER TOP,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,16th May 17,03rd Apr 18,Racing
55013,ACA NEOGEO POWER SPIKES II,NS,Hamster Corporation,Video System,,,,,,,,,,18th Jan 18,04th Apr 18,Sports
55014,ACA NEOGEO POWER SPIKES II,XOne,Hamster Corporation,Video System,,,,,,,,,,18th Jan 18,03rd Apr 18,Sports
55015,ACA NEOGEO POWER SPIKES II,PS4,Hamster Corporation,Video System,,,,,,,,,,19th Apr 18,05th Aug 18,Sports
55016,ACA NEOGEO PREHISTORIC ISLE 2,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,02nd Aug 18,05th Aug 18,Action
55017,ACA NEOGEO PREHISTORIC ISLE 2,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,02nd Aug 18,05th Aug 18,Action
55018,ACA NEOGEO PULSTAR,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,21st Dec 17,04th Apr 18,Shooter
55019,ACA NEOGEO PULSTAR,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,06th Jul 17,03rd Apr 18,Shooter
55020,ACA NEOGEO PULSTAR,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,10th Jul 17,28th Mar 18,Shooter
55021,ACA NEOGEO PUZZLED,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,24th Aug 17,04th Apr 18,Puzzle
55022,ACA NEOGEO PUZZLED,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,24th Aug 17,03rd Apr 18,Puzzle
55023,ACA NEOGEO PUZZLED,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,31st Aug 17,03rd Apr 18,Puzzle
55024,ACA NEOGEO REAL BOUT FATAL FURY,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,12th Oct 17,03rd Apr 18,Fighting
55025,ACA NEOGEO REAL BOUT FATAL FURY,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,18th Mar 18,28th Mar 18,Fighting
55026,ACA NEOGEO REAL BOUT FATAL FURY,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,13th Oct 17,29th Mar 18,Fighting
55027,ACA NEOGEO REAL BOUT FATAL FURY 2,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,08th Mar 18,01st Apr 18,Fighting
55028,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,14th Dec 17,04th Apr 18,Fighting
55029,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,08th Jan 18,29th Mar 18,Fighting
55030,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,19th Apr 18,05th Aug 18,Fighting
55031,ACA NEOGEO RIDING HERO,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,07th Jun 18,05th Aug 18,Racing
55032,ACA NEOGEO RIDING HERO,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,07th Jun 18,05th Aug 18,Racing
55033,ACA NEOGEO ROBO ARMY,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,19th Oct 17,04th Apr 18,Action
55034,ACA NEOGEO ROBO ARMY,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,19th Oct 17,04th Apr 18,Action
55035,ACA NEOGEO ROBO ARMY,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,19th Oct 17,04th Apr 18,Action
55036,ACA NEOGEO SAMURAI SHODOWN,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,20th Jul 17,04th Apr 18,Fighting
55037,ACA NEOGEO SAMURAI SHODOWN,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,02nd May 17,04th Apr 18,Fighting
55038,ACA NEOGEO SAMURAI SHODOWN,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,09th Dec 16,30th Mar 18,Fighting
55039,ACA NEOGEO SAMURAI SHODOWN II,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,21st Sep 17,04th Apr 18,Fighting
55040,ACA NEOGEO SAMURAI SHODOWN II,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,01st Feb 18,28th Mar 18,Fighting
55041,ACA NEOGEO SAMURAI SHODOWN II,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,11th Oct 17,30th Mar 18,Fighting
55042,ACA NEOGEO SAMURAI SHODOWN III,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,01st Feb 18,03rd Apr 18,Fighting
55043,ACA NEOGEO SAMURAI SHODOWN III,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,05th Apr 18,05th Aug 18,Fighting
55044,ACA NEOGEO SAMURAI SHODOWN III,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,19th Apr 18,05th Aug 18,Fighting
55045,ACA NEOGEO SAMURAI SHODOWN IV,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,13th Apr 17,04th Apr 18,Fighting
55046,ACA NEOGEO SAMURAI SHODOWN IV,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,08th Jun 18,05th Aug 18,Fighting
55047,ACA NEOGEO SAMURAI SHODOWN IV,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,19th Apr 18,05th Aug 18,Fighting
55048,ACA NEOGEO SAMURAI SHODOWN V,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,05th Jul 18,05th Aug 18,Fighting
55049,ACA NEOGEO SAMURAI SHODOWN V,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,05th Jul 18,05th Aug 18,Fighting
55050,ACA NEOGEO SENGOKU,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,15th Jun 17,04th Apr 18,Action
55051,ACA NEOGEO SENGOKU,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,16th Mar 17,03rd Apr 18,Action
55052,ACA NEOGEO SENGOKU,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,16th Mar 17,03rd Apr 18,Action
55053,ACA NEOGEO SENGOKU 2,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,13th Apr 17,01st Apr 18,Action
55054,ACA NEOGEO SENGOKU 2,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,01st Mar 18,28th Mar 18,Action
55055,ACA NEOGEO SENGOKU 2,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,15th Jun 17,04th Apr 18,Action
55056,ACA NEOGEO SENGOKU 3,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,29th Mar 18,30th Mar 18,Action
55057,ACA NEOGEO SENGOKU 3,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,29th Mar 18,01st Apr 18,Action
55058,ACA NEOGEO SENGOKU 3,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,13th Jun 18,05th Aug 18,Action
55059,ACA NEOGEO SHOCK TROOPERS,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,03rd Mar 17,04th Apr 18,Action
55060,ACA NEOGEO SHOCK TROOPERS,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,25th Jan 18,04th Apr 18,Action
55061,ACA NEOGEO SHOCK TROOPERS,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,25th Jan 18,28th Mar 18,Action
55062,ACA NEOGEO SHOCK TROOPERS 2nd Squad,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,08th Jun 17,04th Apr 18,Action
55063,ACA NEOGEO SHOCK TROOPERS 2nd Squad,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,01st Mar 18,01st Apr 18,Action
55064,ACA NEOGEO SHOCK TROOPERS 2nd Squad,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,06th Jun 18,05th Aug 18,Action
55065,ACA NEOGEO SOCCER BRAWL,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,22nd Nov 17,04th Apr 18,Sports
55066,ACA NEOGEO SOCCER BRAWL,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,22nd Nov 17,04th Apr 18,Sports
55067,ACA NEOGEO SOCCER BRAWL,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,07th Dec 17,28th Mar 18,Sports
55068,ACA NEOGEO SPIN MASTER,NS,Hamster Corporation,Data East,,,,,,,,,,14th Sep 17,03rd Apr 18,Action
55069,ACA NEOGEO SPIN MASTER,XOne,Hamster Corporation,Data East,,,,,,,,,,14th Sep 17,03rd Apr 18,Action
55070,ACA NEOGEO SPIN MASTER,PS4,Hamster Corporation,Data East,,,,,,,,,,14th Sep 17,03rd Apr 18,Action
55071,ACA NEOGEO STAKES WINNER,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,02nd May 18,05th Aug 18,Sports
55072,ACA NEOGEO STAKES WINNER,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,08th Jun 18,05th Aug 18,Sports
55073,ACA NEOGEO STAKES WINNER,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,02nd May 18,05th Aug 18,Sports
55074,ACA NEOGEO STREET HOOP,NS,Hamster Corporation,Data East,,,,,,,,,,09th Nov 17,04th Apr 18,Sports
55075,ACA NEOGEO STREET HOOP,XOne,Hamster Corporation,Data East,,,,,,,,,,09th Nov 17,04th Apr 18,Sports
55076,ACA NEOGEO STREET HOOP,PS4,Hamster Corporation,Data East,,,,,,,,,,09th Nov 17,04th Apr 18,Sports
55077,ACA NEOGEO SUPER SIDEKICKS,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,27th Jul 17,03rd Apr 18,Sports
55078,ACA NEOGEO SUPER SIDEKICKS,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,27th Jul 17,03rd Apr 18,Sports
55079,ACA NEOGEO SUPER SIDEKICKS,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,28th Jul 17,03rd Apr 18,Sports
55080,ACA NEOGEO SUPER SIDEKICKS 2,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,10th May 18,05th Aug 18,Sports
55081,ACA NEOGEO SUPER SIDEKICKS 2,PS4,Hamster Corporation,SNK Corporation,,,,,,,,,,08th Jun 18,05th Aug 18,Sports
55082,ACA NEOGEO SUPER SIDEKICKS 2,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,10th May 18,05th Aug 18,Sports
55083,ACA NEOGEO SUPER SIDEKICKS 3 : THE NEXT GLORY,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,14th Jun 18,05th Aug 18,Sports
55084,ACA NEOGEO SUPER SIDEKICKS 3 : THE NEXT GLORY,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,14th Jun 18,05th Aug 18,Sports
55085,ACA NEOGEO THE KING OF FIGHTERS '94,NS,Hamster Corporation,SNK Corporation,,,,,,,,,,16th Mar 17,02nd Apr 18,Fighting
55086,ACA NEOGEO THE KING OF FIGHTERS '94,XOne,Hamster Corporation,SNK Corporation,,,,,,,,,,09th Mar 17,02nd Apr 18,Fighting
