Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
23001,Routes Portable,PSP,Aquaplus,Aquaplus,,,,,,,0.00m,,0.00m,25th Jan 07,,Adventure
23002,Conflict: Global Terror,PC,2K Games,Pivotal Games,,,,,,0.00m,,0.00m,0.00m,04th Oct 05,,Shooter
23003,Gangland,PC,Whiptail Interactive,Focus,,,,,,0.00m,,0.00m,0.00m,04th Mar 04,,Strategy
23004,IL-2 Sturmovik: Battle of Stalingrad,PC,1C Maddox Games,Unknown,,,,,,0.00m,,0.00m,0.00m,25th Nov 14,,Action
23005,Puzzle & Dragons: Super Mario Bros. Edition,3DS,Nintendo,GungHo Online Entertainment,,,,,,0.00m,,0.00m,0.00m,22nd May 15,17th Jul 18,Puzzle
23006,Rhythm de Cooking,DS,MTO,MTO,,,,,,,0.00m,,0.00m,13th Nov 08,,Misc
23007,Homeworld: Cataclysm,PC,Sierra Entertainment,Barking Dog,,,,,,0.00m,,0.00m,0.00m,07th Sep 00,,Strategy
23008,Maths Made Simple,DS,505 Games,505 Games,,,,,,0.00m,,0.00m,0.00m,03rd Oct 08,,Misc
23009,Passport to... London,PSP,Sony Computer Entertainment,SCEE London Studio,,,,,,0.00m,,0.00m,0.00m,22nd Sep 06,24th Sep 18,Misc
23010,Pro Cycling Season 2009: Le Tour de France,PSP,Focus Home Interactive,Cyanide Studio,,,,,,0.00m,,0.00m,0.00m,10th Jul 09,,Sports
23011,Qix++,PSP,Taito,Taito Corporation,,,,,,,0.00m,,0.00m,25th Feb 10,,Puzzle
23012,Rugby League Challenge,PSP,Fru Blu Games,Wicked Witch Software,,,,,,0.00m,,0.00m,0.00m,10th Sep 09,,Sports
23013,Tetsudou Musume DS: Terminal Memory,DS,Takara Tomy,Takara Tomy,,,,,,,0.00m,,0.00m,09th Oct 08,,Simulation
23014,Trainz,PC,Strategy First,Auran Games,,8.4,,,,0.00m,,0.00m,0.00m,10th Feb 02,,Simulation
