Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre,Developers
11,Assassin's Creed,Series,Ubisoft,Ubisoft,,,,200.00m,,,,,,13th Nov 07,11th Feb 20,Action-Adventure,"Ubisoft, Gameloft, Griptonite Games, Blue Byte"
12,Final Fantasy,Series,Square,Square,,,,200.00m,,,,,,18th Dec 87,28th Feb 20,Role-Playing,"Square, Square Enix"
13,The Sims,Series,Electronic Arts,Maxis,,,,200.00m,,,,,,04th Feb 00,18th Feb 20,Simulation,Maxis
14,Mario Kart,Series,Nintendo,Nintendo,,,,188.93m,,,,,,01st Sep 92,20th Feb 20,Racing,"Nintendo, Intelligent Systems, Retro Studios, Namco, Namco Bandai"
15,Resident Evil,Series,Capcom,Capcom,,,,167.00m,,,,,,30th Mar 96,03rd Feb 20,Action-Adventure,Capcom
