Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
65001,Trine 5: A Clockwork Conspiracy,NS,Unknown,Frozenbyte,,,,,,,,,,,25th Jul 23,Puzzle
65002,Trine Enchanted Edition,PS4,Frozenbyte,Frozenbyte,,,,,,,,,,23rd Dec 14,17th Nov 18,Action
65003,Trine Enchanted EditionRead the review,NS,Frozenbyte,Frozenbyte,7.0,,,,,,,,,09th Nov 18,16th Nov 18,Action
65004,Trinity Trigger,PS5,Unknown,FuRyu Corporation,,,,,,,,,,,01st Mar 23,Role-Playing
65005,Trinity Trigger,PS4,Unknown,FuRyu Corporation,,,,,,,,,,,01st Mar 23,Role-Playing
65006,Trinity Trigger,PC,Unknown,FuRyu Corporation,,,,,,,,,,,01st Mar 23,Role-Playing
65007,Trinity TriggerRead the review,NS,Unknown,FuRyu Corporation,6.0,,,,,,,,,,01st Mar 23,Role-Playing
65008,Triple Action,Int,Mattel Electronics,APh Technological Consulting,,,,,,,,,,15th Oct 81,13th Jan 18,Misc
65009,Triple Challenge,Int,INTV Corporation,Realtime Associates,,,,,,,,,,01st Jan 87,13th Jan 18,Misc
65010,Trivia Vault Basketball Trivia,PC,Unknown,Unknown,,,,,,,,,,03rd Mar 18,12th Feb 24,Misc
65011,Trivia Vault: Classic Rock Trivia,PC,Unknown,Unknown,,,,,,,,,,17th Aug 17,12th Feb 24,Misc
65012,Trivia Vault: Classic Rock Trivia 2,PC,Unknown,Unknown,,,,,,,,,,23rd Aug 17,12th Feb 24,Misc
65013,Trivia Vault: Fashion Trivia,PC,Unknown,Unknown,,,,,,,,,,24th May 18,12th Feb 24,Misc
65014,Trivia Vault: Food Trivia,PC,Unknown,Unknown,,,,,,,,,,30th May 18,12th Feb 24,Misc
65015,Trivia Vault: Golf Trivia,PC,Unknown,Unknown,,,,,,,,,,29th Mar 18,12th Feb 24,Misc
65016,Trivia Vault: Literature Trivia,PC,Unknown,Unknown,,,,,,,,,,01st Jun 18,12th Feb 24,Misc
65017,Trivia Vault: Mixed Trivia,PC,Unknown,Unknown,,,,,,,,,,11th Aug 17,12th Feb 24,Misc
65018,Trivia Vault: Mixed Trivia 2,PC,Unknown,Unknown,,,,,,,,,,13th Feb 18,12th Feb 24,Misc
65019,Trivia Vault: Music Trivia,PC,Unknown,Unknown,,,,,,,,,,22nd Jun 18,12th Feb 24,Misc
65020,Trivia Vault: Science & History Trivia,PC,Unknown,Unknown,,,,,,,,,,14th Aug 17,12th Feb 24,Misc
65021,Trivia Vault: Science & History Trivia 2,PC,Unknown,Unknown,,,,,,,,,,01st Sep 17,12th Feb 24,Misc
65022,Trivia Vault: Soccer Trivia,PC,Unknown,Unknown,,,,,,,,,,23rd Apr 18,12th Feb 24,Misc
65023,Trivia Vault: Super Heroes Trivia,PC,Unknown,Unknown,,,,,,,,,,15th Aug 17,12th Feb 24,Misc
65024,Trivia Vault: Super Heroes Trivia 2,PC,Unknown,Unknown,,,,,,,,,,12th Sep 17,12th Feb 24,Misc
65025,Trivia Vault: Toy Trivia,PC,Unknown,Unknown,,,,,,,,,,25th May 18,12th Feb 24,Misc
65026,Trivia Vault: TV Trivia,PC,Unknown,Unknown,,,,,,,,,,03rd May 18,12th Feb 24,Misc
65027,Trivia Vault: Video Game Trivia Deluxe,PC,Unknown,Unknown,,,,,,,,,,24th Oct 17,12th Feb 24,Misc
65028,Tron: Deadly Discs,Int,Mattel Electronics,Mattel,,,,,,,,,,01st Jan 82,13th Jan 18,Shooter
65029,Tron: Maze-A-Tron,Int,Mattel Electronics,Mattel,,,,,,,,,,06th Oct 82,13th Jan 18,Puzzle
65030,Tron: Solar Sailer,Int,Mattel Electronics,Mattel,,,,,,,,,,01st Jan 83,13th Jan 18,Puzzle
65031,Tropical Trouble,Int,Imagic,Imagic,,,,,,,,,,01st Jan 82,13th Jan 18,Action
65032,Tropico 6,PC,Kalypso Media,Limbic Entertainment,,,,,,,,,,29th Jan 19,21st Jul 19,Simulation
65033,Tropico 6,PS4,Kalypso Media,Limbic Entertainment,,,,,,,,,,27th Sep 19,21st Jul 19,Simulation
65034,Tropico 6,XOne,Kalypso Media,Limbic Entertainment,,,,,,,,,,27th Sep 19,21st Jul 19,Simulation
65035,Trove,PC,Unknown,Trion Worlds,,,,,,,,,,,26th Mar 19,MMO
65036,Trüberbrook,PC,Headup Games,btf,,,,,,,,,,01st Jan 19,03rd Jan 19,Adventure
65037,Trüberbrook,XOne,Headup Games,btf,,,,,,,,,,01st Jan 19,03rd Jan 19,Adventure
65038,Trüberbrook,PS4,Merge Games,btf,,,,,,,,,,19th Mar 19,03rd Jan 19,Adventure
65039,Trüberbrook,NS,Merge Games,btf,,,,,,,,,,19th Mar 19,03rd Jan 19,Adventure
65040,Truck Driver,PC,Unknown,Triangle Studios,,,,,,,,,,,26th Oct 18,Simulation
65041,Truck Driver,PS4,Unknown,Triangle Studios,,,,,,,,,,,26th Oct 18,Simulation
65042,Truck Driver,XOne,Unknown,Triangle Studios,,,,,,,,,,,26th Oct 18,Simulation
