Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
14001,A New Beginning,PC,Daedalic Entertainment,Daedalic Entertainment,,,,0.11m,,,,,,11th Dec 12,,Adventure
14002,Ore no Imouto ga Konnani Kawaii Wake ga Nai Portable,PSP,Namco Bandai Games,Namco Bandai Games,,,,,,,0.11m,,0.11m,17th May 12,08th Oct 18,Adventure
14003,Snapshot,PC,Retro Affect,Retro Affect,,,,0.11m,,,,,,30th Aug 12,04th Apr 19,Platform
14004,Charlie and the Chocolate Factory,XB,Global Star Software,High Voltage Software,,,,,0.08m,0.02m,,0.00m,0.11m,11th Jul 05,,Adventure
14005,Constantine,PS2,THQ,Bits Studios,,,,,0.05m,0.04m,,0.01m,0.11m,14th Feb 05,,Action
14006,Prinny: Can I Really Be the Hero?Read the review,PSP,NIS America,Nippon Ichi Software,8.4,7.2,,,0.04m,0.01m,0.05m,0.01m,0.11m,17th Feb 09,,Platform
14007,Pimp My Ride,X360,Activision,Eutechnyx,,3.8,,,0.10m,0.01m,,0.01m,0.11m,06th Dec 06,,Racing
14008,Pokémon Rumble World,3DS,Nintendo,Ambrella,,7.0,,,,0.02m,0.09m,0.00m,0.11m,08th Apr 15,03rd Aug 18,Action
14009,Dynasty Tactics 2,PS2,KOEI,Koei,,,,,0.05m,0.04m,,0.01m,0.11m,23rd Sep 03,,Strategy
14010,Touch Detective 2 1/2,DS,Atlus,"BeeWorks Co., Ltd.",,,,,0.09m,,0.01m,0.01m,0.11m,09th Oct 07,,Adventure
14011,Vacation Sports,Wii,Ubisoft,Mere Mortals,,,,,0.09m,0.01m,,0.01m,0.11m,10th Mar 09,,Sports
14012,Real World Golf,PS2,Mad Catz,In2Games / Aqua Pacific,,,,,0.05m,0.04m,,0.01m,0.11m,11th Apr 06,,Sports
14013,Patapon 2,PSP,Sony Computer Entertainment,Pyramid/JAPAN Studio,,8.2,,,,0.03m,0.06m,0.01m,0.11m,05th May 09,,Platform
14014,Winter Heat,SAT,Sega,Sega,,,,,,,0.11m,,0.11m,30th Nov 97,,Sports
14015,WRC 5: FIA World Rally Championship,PS3,Bigben Interactive,Kylotonn Entertainment,,,,,0.04m,0.05m,,0.02m,0.11m,24th Nov 15,24th Apr 18,Racing
14016,Animal Planet: Vet Life,DS,Activision,Activision,,,,,0.10m,0.00m,,0.01m,0.11m,22nd Sep 09,,Simulation
14017,Ty the Tasmanian Tiger 2: Bush Rescue,XB,Electronic Arts,Krome Studios,,6.9,,,0.08m,0.02m,,0.00m,0.11m,12th Oct 04,,Platform
14018,Defender,GC,Midway Games,Inevitable Entertainment,,,,,0.08m,0.02m,,0.00m,0.11m,03rd Nov 02,,Shooter
14019,BlazBlue: Continuum Shift II,3DS,Aksys Games,Arc System Works,,6.0,,,0.05m,0.02m,0.04m,0.01m,0.11m,31st May 11,,Fighting
14020,The Polar Express,GC,THQ,Blue Tongue,,3.3,,,0.08m,0.02m,,0.00m,0.11m,02nd Nov 04,,Adventure
14021,BMX XXX,XB,Acclaim Entertainment,"Z-Axis, Ltd.",,,,,0.08m,0.02m,,0.00m,0.11m,10th Nov 02,,Sports
14022,ATV: Quad Frenzy,DS,Majesco,Skyworks Technologies,,,,,0.10m,,,0.01m,0.11m,14th Nov 05,,Racing
14023,Totally Spies! Totally Party,Wii,Valcon Games,OUAT Entertainment,,,,,0.09m,0.01m,,0.01m,0.11m,10th Mar 09,,Misc
14024,Ys VIII: Lacrimosa of Dana,NS,NIS America,Nihon Falcom Corporation,,8.5,6.7,,0.03m,0.03m,0.03m,0.01m,0.11m,26th Jun 18,11th Jan 18,Role-Playing
14025,Lady Sia,GBA,TDK Mediactive,RFX Interactive,,,,,0.08m,0.03m,,0.00m,0.11m,15th Oct 01,,Platform
14026,Lucha Libre AAA: Heroes del Ring,PS3,Konami,Immersion Software & Graphics,,,,,0.10m,,,0.01m,0.11m,12th Oct 10,,Fighting
14027,Rock Band: Metal Track Pack,PS2,MTV Games,Harmonix Music Systems,,,,,0.05m,0.04m,,0.01m,0.11m,22nd Sep 09,,Misc
14028,Sonic Generations,PC,Sega,Sega,,8.3,,,0.02m,0.07m,,0.02m,0.11m,03rd Nov 11,,Platform
14029,Burnout Paradise Remastered,XOne,Electronic Arts,Stellar Entertainment,,8.0,,,0.06m,0.04m,,0.01m,0.11m,16th Mar 18,24th Feb 18,Racing
14030,Frogger: Helmet Chaos,PSP,Konami,Konami Computer Entertainment Hawaii,,7.0,,,0.10m,0.00m,,0.01m,0.11m,29th Sep 05,,Platform
14031,Replica,PC,Somi,Somi,,,,0.11m,,,,,,11th Jun 16,04th Apr 19,Visual Novel
14032,Robotech: Invasion,PS2,Global Star Software,Vicious Cycle,,,,,0.05m,0.04m,,0.01m,0.11m,05th Oct 04,,Shooter
14033,fault - milestone one,PC,Sekai Project,ALICE IN DISSONANCE,,,,0.11m,,,,,,09th Aug 13,04th Apr 19,Visual Novel
14034,Rock Band: Metal Track Pack,Wii,MTV Games,Harmonix Music Systems,,,,,0.10m,,,0.01m,0.11m,22nd Sep 09,,Misc
14035,Dr. Seuss' The Cat in the Hat,XB,VU Games,Magenta Software,,,,,0.08m,0.02m,,0.00m,0.11m,05th Nov 03,,Adventure
14036,Hellboy: The Science of Evil,X360,Konami,Krome Studios,,,,,0.10m,0.00m,,0.01m,0.11m,24th Jun 08,,Action
14037,Irozuki Tingle no Koi no Balloon Trip,DS,Nintendo,Vanpool,,,,,,,0.11m,,0.11m,06th Aug 09,,Adventure
14038,Sakura Dungeon,PC,Winged Cloud,Winged Cloud,,,,0.11m,,,,,,03rd Jun 16,04th Apr 19,Role-Playing
14039,Sword Art Online: Lost Song,PS3,Namco Bandai Games,Namco Bandai Games,,,,,,,0.11m,,0.11m,26th Mar 15,,Role-Playing
14040,Where the Wild Things Are,PS3,Warner Bros. Interactive,Amaze Entertainment,,,,,0.09m,0.01m,,0.01m,0.11m,13th Oct 09,,Platform
14041,Champion Jockey: G1 Jockey & Gallop Racer,Wii,Tecmo Koei,Tecmo Koei Games,,,,,0.06m,0.03m,0.01m,0.01m,0.11m,08th Nov 11,31st Jul 18,Sports
14042,HOP,DS,505 Games,505 Games,,,,,0.09m,0.01m,,0.01m,0.11m,29th Mar 11,,Platform
14043,Metal Gear Solid V: The Definitive Experience,XOne,Konami Digital Entertainment,Kojima Productions,,,,,0.10m,,,0.01m,0.11m,11th Oct 16,29th May 18,Action
14044,Sniper Elite,Wii,Reef Entertainment,Reef Entertainment,,,,,0.07m,0.02m,,0.01m,0.11m,14th Dec 10,,Shooter
14045,Cats & Dogs: The Revenge of Kitty Galore,DS,505 Games,Warner Bros. Interactive Entertainment,,,,,0.10m,0.00m,,0.01m,0.11m,20th Jul 10,,Action
14046,Astro Boy: The Video Game,Wii,D3 Publisher,High Voltage Software,,5.3,,,0.10m,0.00m,,0.01m,0.11m,20th Oct 09,,Action
14047,Call of Duty: Modern Warfare Trilogy,PS3,Activision,Infinity Ward,,,,,0.07m,0.02m,,0.02m,0.11m,17th May 16,14th Jan 18,Shooter
14048,Vanishing Realms,PC,Indimo Labs LLC,Indimo Labs LLC,,,,0.11m,,,,,,05th Apr 16,04th Apr 19,Role-Playing
14049,Final Fantasy I & II,NES,Square,SquareSoft,,,,,,,0.11m,,0.11m,27th Feb 94,,Role-Playing
14050,Starsky & Hutch,GC,BAM! Entertainment,Minds-Eye Productions,,6.0,,,0.08m,0.02m,,0.00m,0.11m,24th Aug 04,,Racing
14051,The Cheetah Girls: Pop Star Sensations,DS,Disney Interactive Studios,Handheld Games,,,,,0.10m,,,0.01m,0.11m,09th Oct 07,,Misc
14052,Langrisser IV,SAT,NCS,Career Soft,,,,,,,0.11m,,0.11m,01st Aug 97,,Strategy
14053,FoxKids.com Micro Maniacs Racing,PS,Codemasters,Codemasters,,,,,0.06m,0.04m,,0.01m,0.11m,05th Oct 00,,Racing
14054,Happy Feet Two,DS,Warner Bros. Interactive,WayForward,,,,,0.09m,0.01m,,0.01m,0.11m,08th Nov 11,,Adventure
14055,Hexen: Beyond Heretic,PS,GT Interactive,Raven Software,,,,,0.06m,0.04m,,0.01m,0.11m,30th Jun 97,,Shooter
14056,Arcade Party Pak,PS,Midway Games,Digital Eclipse,,7.6,,,0.06m,0.04m,,0.01m,0.11m,30th Sep 99,,Misc
14057,Bust-A-Move DS,DS,Majesco,Happy Happening,,,,,0.08m,0.02m,,0.01m,0.11m,06th Dec 05,,Puzzle
14058,Planet 51,X360,Sega,Pyro Studios,,5.7,,,0.07m,0.03m,,0.01m,0.11m,17th Nov 09,,Action
14059,Cabela's North American Adventures,X360,Activision,Activision,,,,,0.10m,,,0.01m,0.11m,14th Sep 10,,Sports
14060,Football Manager 2019,PC,Sega,Sports Interactive,,,,,,0.10m,,0.01m,0.11m,02nd Nov 18,11th Sep 18,Simulation
14061,Kotoba no Puzzle: Mojipittan Daijiten,PSP,Namco,Namco,,,,,,,0.11m,,0.11m,16th Dec 04,,Puzzle
14062,Yamaha Supercross,DS,DSI Games,Coyote Console,,,,,0.10m,,,0.01m,0.11m,07th Apr 09,,Racing
14063,"Cook, Serve, Delicious! 2!!",PC,Vertigo Gaming Inc.,Vertigo Gaming Inc.,,,,0.11m,,,,,,14th Sep 17,04th Apr 19,Simulation
14064,TransOcean: The Shipping Company,PC,Astragon,Deck13 Hamburg,,,,0.11m,,,,,,23rd Sep 14,03rd Apr 19,Simulation
14065,Hitman Trilogy,PS2,Eidos Interactive,IO Interactive,,,,,0.05m,0.04m,,0.01m,0.11m,30th Jun 07,,Action
14066,Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,Square Enix,Square Enix,,,,,,,0.11m,,0.11m,25th May 06,,Misc
14067,Kairo,PC,Lupus Studios Limited,Locked Door Puzzle,,,,0.11m,,,,,,24th Apr 13,03rd Apr 19,Puzzle
14068,A.R.E.S. Extinction Agenda,PC,Extend Studio,ORiGO Games,,6.8,,0.11m,,,,,,14th Dec 10,,Platform
14069,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,X360,THQ,THQ,,,,,0.07m,0.03m,,0.01m,0.11m,13th Sep 11,,Action
14070,Rock Band Track Pack: Classic Rock,PS3,MTV Games,Harmonix Music Systems,,,,,0.10m,,,0.01m,0.11m,19th May 09,,Misc
14071,Heroes of Hammerwatch,PC,Crackshell,Crackshell,,,,0.11m,,,,,,01st Mar 18,03rd Apr 19,Action-Adventure
14072,Cabela's Adventure Camp,PS3,Activision,Activision,,,,,0.06m,0.03m,,0.02m,0.11m,01st Nov 11,,Misc
14073,Railroad Tycoon II,PS,Take-Two Interactive,Take-Two Interactive,,6.6,,,0.06m,0.04m,,0.01m,0.11m,31st Jan 00,,Strategy
14074,The Legend of Heroes II: Prophecy of the Moonlight Witch (JP sales),PSP,Namco Bandai,MiCROViSion Inc. / Falcom Corporation,,,,,,,0.11m,,0.11m,20th Jun 06,,Role-Playing
14075,The Hardy Boys: The Hidden Theft,Wii,DreamCatcher Interactive,XPEC Entertainment Inc.,,,,,0.07m,0.03m,,0.01m,0.11m,22nd Sep 09,,Adventure
14076,Naruto Shippuden 3D: The New Era,3DS,505 Games,Takara Tomy,,,,,,0.04m,0.06m,0.00m,0.11m,17th Jun 11,,Action
14077,My Boyfriend,DS,THQ,exozet games,,,,,0.10m,,,0.01m,0.11m,14th Sep 09,,Simulation
14078,Evil Maze,PC,ZOV GAME STUDIO,ZOV GAME STUDIO,,,,0.11m,,,,,,17th Jun 16,03rd Apr 19,Action
14079,Kirarin * Revolution: Kira Kira Idol Audition,DS,Konami,Konami,,,,,,,0.11m,,0.11m,10th Aug 06,,Simulation
14080,Killer Instinct (2013),XOne,Microsoft Studios,Iron Galaxy,,,,,0.07m,0.03m,,0.01m,0.11m,23rd Sep 14,09th Aug 18,Fighting
14081,Ranma 1/2: Akanekodan Teki Hihou,SNES,TOHO,Rumic Soft,,,,,,,0.11m,,0.11m,22nd Oct 93,,Role-Playing
